label	message_bytes	work_elements	repetitions	iterations	comm_ms	compute_ms	overlap_ms	saved_ms	overlap_efficiency	serial_to_overlap
grid02_like	524288	40000	1	96	0.483780	0.080481	0.482584	0.081677	1.014863	1.169249
grid01_like	720896	75000	1	96	0.666417	0.179383	0.708238	0.137562	0.766866	1.194232
grid02_like	524288	40000	2	96	0.481736	0.138362	0.498960	0.121138	0.875514	1.242782
grid01_like	720896	75000	2	96	0.652555	0.226954	0.716027	0.163482	0.720331	1.228318
grid02_like	524288	40000	4	96	0.480175	0.255506	0.590787	0.144894	0.567085	1.245255
grid01_like	720896	75000	4	96	0.666220	0.440450	1.482654	-0.375985	-0.853637	0.746411
grid02_like	524288	40000	8	96	0.478147	0.492394	0.867360	0.103181	0.215794	1.118960
grid01_like	720896	75000	8	96	0.655193	0.843052	1.290083	0.208162	0.317711	1.161356
