label	variant	real_seconds	rc	done	trajectory_sha	log_sha	nc_count
A1	O33	128.353	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	3d778a060abe7418fe6250c07b540575c1eb29fcf4e888499780f16d63551ec7	0
B1	O33_F2C_VTYPE	131.535	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	c2e99375639c215f337f78fcdc9c1a127e0ab5fc98110c1c63b625fa42136c80	0
B2	O33_F2C_VTYPE	130.354	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	1c54ec0a20a623e11d3cbcd987ef72c3d5a3590e9b19ec289cae7de20c3d67bf	0
A2	O33	126.562	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	fdddd3843e3d405e5c0c044a9de0459011e1d2019caa591c78684fcbfa08455e	0
