#rank=13	host=i17r2n08	pid=24030	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000021010	0.000002050	0.000027530	0.000000950	10230	0.000610580	0.000000790	0.000902079	0.000007150	3517	0.000209860	0.000000400	0.000308040	0.000000620
1	0x5d4bb5	14805	3	-1	1	0.019119889	0.019119889	0.000003360	0.000003360	8	0.134580934	0.016929848	0.000011980	0.000001820	4	0.067373392	0.016904458	0.000005950	0.000001760
3	0x5e46a2	216	4	8	98	0.000012670	0.000002180	0.000059020	0.000001490	3912	0.000314861	0.000013090	0.002105271	0.000008010	1339	0.000103900	0.000000790	0.000717822	0.000008070
1	0x62420d	176868	4	-8	1	0.002392821	0.002392821	0.000004780	0.000004780	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000031690	0.000031230	0.000000540	0.000000330	43	0.000030640	0.000006360	0.000017880	0.000000760	15	0.000009130	0.000001400	0.000006350	0.000000820
1	0x6481e0	71910	3	-1	1	0.001152391	0.001152391	0.000005260	0.000005260	8	0.008530715	0.001161971	0.000009130	0.000001810	4	0.004430913	0.001194970	0.000005710	0.000001600
1	0x5e1aea	312	4	-8	85	0.000051030	0.000002420	0.000025870	0.000000870	680	0.000402010	0.000003530	0.000194101	0.000000970	340	0.000202520	0.000003830	0.000086540	0.000001100
1	0x5e68b2	564	1	1	96	0.000009580	0.000002270	0.000012250	0.000001870	712	0.000055730	0.000000850	0.000068920	0.000000880	356	0.000027780	0.000000700	0.000035920	0.000001600
6	0x55fc42	463624	-1	-1	1	0.002811301	0.002811301	0.009795715	0.009795715	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000076310	0.000001880	0.000050740	0.000000880	10230	0.002453403	0.000006340	0.001723100	0.000007320	3517	0.000856060	0.000006330	0.000606610	0.000010970
1	0x62806d	7344	2	8	1	0.000000590	0.000000590	0.000010770	0.000010770	43	0.000022280	0.000001920	0.000318970	0.000037180	16	0.000007290	0.000000660	0.000135640	0.000011140
1	0x62ac22	7548	1	1	1	0.000000950	0.000000950	0.000000550	0.000000550	43	0.000036990	0.000001930	0.000016100	0.000000780	16	0.000012330	0.000001520	0.000004950	0.000000630
3	0x5e46a2	312	4	8	85	0.000006870	0.000001380	0.000040670	0.000006290	680	0.000045321	0.000000360	0.000276630	0.000001530	340	0.000022540	0.000000240	0.000138600	0.000001430
3	0x5de5b4	14805	3	1	1	0.000001720	0.000001720	0.000040480	0.000040480	8	0.000004580	0.000001020	0.000279940	0.000042420	4	0.000001610	0.000000700	0.000320070	0.000208530
3	0x62abd9	162996	1	-1	1	0.000000540	0.000000540	0.000344340	0.000344340	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000020420	0.000001870	0.000204170	0.000004100	10230	0.000611241	0.000000920	0.005018639	0.000011760	3517	0.000214059	0.000001210	0.001782000	0.000014370
3	0x628017	7560	2	-8	1	0.000002910	0.000002910	0.000014440	0.000014440	43	0.000014620	0.000001220	0.000716761	0.000026690	16	0.000004890	0.000000490	0.000263241	0.000031630
4	0x5dce3c	1	-1	-1	66	0.000201240	0.000156140	0.000658270	0.000212010	692	0.000244240	0.000007170	0.028787847	0.003123611	266	0.000086010	0.000001090	0.007504492	0.000502711
3	0x62abd9	64158	1	-1	2	0.000035780	0.000035430	0.000267980	0.000135930	43	0.000026660	0.000001500	0.012977086	0.002929181	15	0.000010410	0.000001410	0.003099393	0.000362620
1	0x5dfbdb	282	3	-1	94	0.022330337	0.007641614	0.000022350	0.000003360	712	0.071795039	0.000193500	0.000124970	0.000000830	356	0.035904956	0.000172120	0.000062290	0.000000660
1	0x62ac22	128316	1	1	1	0.000000380	0.000000380	0.000000250	0.000000250	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000001920	0.000001920	0.000068350	0.000068350	8	0.000005150	0.000002070	0.015132156	0.005833952	4	0.000002480	0.000000850	0.000843940	0.000472150
1	0x62420d	10404	4	-8	1	0.000077160	0.000077160	0.000000310	0.000000310	8	0.000576961	0.000098950	0.000004290	0.000001130	4	0.000337550	0.000109390	0.000001590	0.000000660
3	0x5de5b4	3885	3	1	17	0.000010010	0.000003200	0.001832371	0.000560091	217	0.000056020	0.000001320	0.002787331	0.000026020	78	0.000020610	0.000000650	0.000974040	0.000017950
3	0x5e6832	228	3	1	85	0.000007930	0.000002030	0.000089440	0.000001470	3740	0.000276500	0.000000960	0.003984552	0.000008930	1275	0.000094920	0.000000680	0.001364531	0.000008400
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000152250	0.000026130	0.002704452	0.000488430	4	0.000069210	0.000018640	0.000609670	0.000183260
1	0x621701	7770	3	-1	1	0.000062750	0.000062750	0.000000610	0.000000610	43	0.003112451	0.000090660	0.000016320	0.000000900	16	0.001227650	0.000083010	0.000006140	0.000001100
3	0x64a1c4	55080	2	-8	1	0.000000280	0.000000280	0.000066160	0.000066160	43	0.000018100	0.000001360	0.002904302	0.000111080	16	0.000005850	0.000000720	0.001020690	0.000092970
1	0x5d4bb5	11655	3	-1	1	0.008705345	0.008705345	0.000001450	0.000001450	43	0.370181608	0.008696494	0.000109580	0.000011630	16	0.138055107	0.008733774	0.000033920	0.000002850
1	0x62806d	7560	2	8	1	0.000000280	0.000000280	0.000000090	0.000000090	43	0.000014800	0.000000560	0.000004490	0.000000180	16	0.000005680	0.000000550	0.000001570	0.000000120
3	0x5e6875	444	1	-1	98	0.000010010	0.000001780	0.000106980	0.000006340	3871	0.000279800	0.000007160	0.003314350	0.000010470	1320	0.000091790	0.000000760	0.001112121	0.000007600
3	0x62ab93	81498	3	1	1	0.000024540	0.000024540	0.000248351	0.000248351	32	0.000022570	0.000001720	0.005154781	0.000277860	16	0.000012840	0.000001410	0.002608181	0.000267350
1	0x621701	9588	3	-1	1	0.009515134	0.009515134	0.000009110	0.000009110	8	0.061674931	0.007935953	0.000041680	0.000007780	4	0.031579926	0.007952704	0.000024070	0.000008210
1	0x5dfbdb	288	3	-1	85	0.001020401	0.000500111	0.000011840	0.000000420	680	0.004452022	0.000047490	0.000088290	0.000000970	340	0.002218322	0.000038470	0.000043460	0.000000480
3	0x5db80c	2601	4	8	1	0.000000170	0.000000170	0.000361810	0.000361810	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	162996	3	-1	1	0.009015615	0.009015615	0.000002260	0.000002260	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3672	4	8	1	0.000000140	0.000000140	0.000202600	0.000202600	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	1887	3	1	1	0.000005520	0.000005520	0.000004050	0.000004050	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10404	4	8	9	0.000009080	0.000003750	0.002615503	0.001334851	56	0.000021130	0.000000740	0.004858672	0.000718960	28	0.000010310	0.000000720	0.002227632	0.000543561
3	0x5e6832	222	3	1	98	0.000011280	0.000002450	0.000105000	0.000001570	3912	0.000295870	0.000000920	0.004195633	0.000010870	1339	0.000101650	0.000000680	0.001444622	0.000008110
1	0x5de640	1887	1	1	1	0.000005210	0.000005210	0.000000130	0.000000130	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e4722	324	2	8	5	0.000001270	0.000000560	0.000001400	0.000000540	130	0.000034470	0.000001410	0.000026010	0.000001500	45	0.000011560	0.000000760	0.000008090	0.000000830
3	0x62abd9	128316	1	-1	1	0.000000350	0.000000350	0.000289241	0.000289241	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
4	0x5e37df	1	-1	-1	1120	0.000423781	0.000265300	0.000813270	0.000121890	25883	0.003878533	0.000010110	0.143389391	0.028025523	9496	0.001418859	0.000007560	0.059551695	0.013927807
4	0x5e565b	1	-1	-1	1120	0.000451410	0.000331890	0.004288090	0.000374540	25883	0.002440331	0.000007220	0.084437049	0.005403583	9496	0.000892111	0.000006150	0.026949521	0.000667720
1	0x5de640	14805	1	1	1	0.000000330	0.000000330	0.000000230	0.000000230	8	0.000003220	0.000000620	0.000002380	0.000000560	4	0.000001400	0.000000400	0.000001190	0.000000540
4	0x649557	1	-1	-1	2	0.000195820	0.000129090	0.000000260	0.000000130	51	0.004454866	0.000156910	0.000030280	0.000003240	20	0.001868113	0.000156720	0.000009940	0.000002290
1	0x62806d	187272	2	8	2	0.000026940	0.000025590	0.000001310	0.000000740	43	0.000044710	0.000007990	0.000021860	0.000001110	15	0.000013580	0.000001610	0.000009690	0.000001330
3	0x5db855	1836	2	-8	1	0.000000350	0.000000350	0.000003150	0.000003150	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5d795f	10710	4	-8	1	0.000032450	0.000032450	0.000001220	0.000001220	8	0.000303340	0.000042790	0.000009360	0.000001340	4	0.000165400	0.000048600	0.000004440	0.000001350
1	0x5de640	7770	1	1	1	0.000000470	0.000000470	0.000000350	0.000000350	44	0.000019730	0.000000950	0.000011200	0.000000620	15	0.000007700	0.000000910	0.000003570	0.000000420
3	0x5de5fa	3885	1	-1	17	0.000005140	0.000000960	0.000535430	0.000214340	217	0.000049860	0.000000940	0.005098513	0.000382860	78	0.000017730	0.000000550	0.001749581	0.000223830
3	0x5e46a2	222	4	8	85	0.000005890	0.000000350	0.000048050	0.000001050	3740	0.000268960	0.000005980	0.001953960	0.000008630	1275	0.000089400	0.000000650	0.000651270	0.000001540
1	0x5dfbdb	444	3	-1	98	0.007244763	0.005121012	0.000015740	0.000002600	3871	0.164876123	0.004901793	0.000588440	0.000006810	1320	0.056587091	0.002882482	0.000200410	0.000003170
3	0x62ab93	192474	3	1	2	0.000003110	0.000002450	0.000964630	0.000483820	43	0.000038310	0.000003290	0.021940373	0.000762920	15	0.000013030	0.000001370	0.008277752	0.000962980
1	0x5e4722	612	2	8	96	0.000010290	0.000001780	0.000011280	0.000000980	712	0.000055290	0.000000870	0.000066520	0.000000630	356	0.000026260	0.000000570	0.000033480	0.000000700
3	0x5de5b4	9588	3	1	9	0.000010100	0.000005400	0.000682130	0.000214440	56	0.000022760	0.000001360	0.001366292	0.000035920	28	0.000013090	0.000000940	0.000712500	0.000033140
3	0x5e46a2	432	4	8	98	0.000014270	0.000003330	0.000053170	0.000003060	3871	0.000425230	0.000006580	0.002113450	0.000008830	1320	0.000140120	0.000000780	0.000727170	0.000003420
3	0x5e46e2	612	2	-8	96	0.000009750	0.000001590	0.000225250	0.000006600	712	0.000056170	0.000001060	0.001271671	0.000009740	356	0.000026610	0.000000850	0.000634662	0.000008120
1	0x5e68b2	333	1	1	5	0.000000890	0.000000340	0.000001820	0.000000910	130	0.000031350	0.000001410	0.000029810	0.000001560	45	0.000010960	0.000000710	0.000011040	0.000001210
3	0x5e6875	564	1	-1	96	0.000012130	0.000003440	0.000214590	0.000011060	712	0.000050800	0.000001200	0.000905660	0.000012570	356	0.000025780	0.000000570	0.000471450	0.000002600
6	0x56074e	13608	-1	-1	12	0.001408411	0.000699251	0.009322725	0.000928680	48	0.001817561	0.000068780	0.011462556	0.000947611	24	0.000846121	0.000055570	0.004280972	0.000343990
3	0x5db855	5202	2	-8	1	0.000001710	0.000001710	0.000012650	0.000012650	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5dfbdb	111	3	-1	290	0.091986723	0.053838796	0.000038090	0.000001230	10230	0.179154452	0.019119159	0.001279150	0.000020940	3517	0.082646689	0.016991808	0.000447941	0.000007940
1	0x5db89e	14688	2	8	4	0.000000940	0.000000280	0.000001030	0.000000500	87	0.000020600	0.000000560	0.000025220	0.000006520	30	0.000007580	0.000000520	0.000012870	0.000008190
3	0x5de5b4	4935	3	1	14	0.000010700	0.000003450	0.001303461	0.000442061	48	0.000015750	0.000001330	0.000728971	0.000028360	24	0.000007330	0.000000470	0.000464540	0.000133980
4	0x6280fb	1	-1	-1	11	0.004475143	0.001176500	0.000005850	0.000001850	220	0.066393396	0.001332280	0.000107120	0.000004150	86	0.024614240	0.001319771	0.000041340	0.000002620
