#rank=33	host=i17r2n10	pid=23442	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000020230	0.000001930	0.000028070	0.000000620	10230	0.000616201	0.000000950	0.001006100	0.000005020	3517	0.000210610	0.000000770	0.000336961	0.000000810
1	0x5d4bb5	14805	3	-1	1	0.017221946	0.017221946	0.000004490	0.000004490	8	0.139760894	0.022531142	0.000020600	0.000003540	4	0.066365354	0.016722496	0.000008700	0.000002370
3	0x5e46a2	216	4	8	98	0.000024880	0.000002270	0.000092690	0.000005380	3912	0.000887942	0.000007540	0.003374233	0.000008130	1339	0.000311390	0.000007600	0.001143950	0.000001870
1	0x62420d	176868	4	-8	1	0.002004812	0.002004812	0.000003260	0.000003260	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000027741	0.000027231	0.000000680	0.000000440	43	0.000049350	0.000013030	0.000014230	0.000000770	15	0.000009210	0.000000980	0.000006510	0.000000910
1	0x6481e0	71910	3	-1	1	0.000805760	0.000805760	0.000002770	0.000002770	8	0.005931256	0.000907260	0.000006420	0.000001800	4	0.003427431	0.000892130	0.000002780	0.000000790
1	0x5e1aea	312	4	-8	85	0.000051370	0.000001360	0.000009820	0.000000630	680	0.000403702	0.000001580	0.000080890	0.000000880	340	0.000197180	0.000001600	0.000039110	0.000000780
1	0x5e68b2	564	1	1	96	0.000008530	0.000000760	0.000009110	0.000000840	712	0.000058780	0.000000730	0.000063390	0.000001010	356	0.000029170	0.000000730	0.000029960	0.000000130
6	0x55fc42	463624	-1	-1	1	0.002866472	0.002866472	0.009580290	0.009580290	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000072550	0.000001000	0.000040871	0.000000700	10230	0.002447451	0.000007530	0.001086821	0.000007810	3517	0.000831620	0.000001360	0.000366840	0.000000940
1	0x62806d	7344	2	8	1	0.000000500	0.000000500	0.000000360	0.000000360	43	0.000025780	0.000003350	0.000029000	0.000001660	16	0.000008010	0.000000670	0.000012620	0.000001990
1	0x62ac22	7548	1	1	1	0.000001360	0.000001360	0.000000580	0.000000580	43	0.000036830	0.000001520	0.000018770	0.000001180	16	0.000013640	0.000001080	0.000005860	0.000000710
3	0x5e46a2	312	4	8	85	0.000006580	0.000001050	0.000085950	0.000004080	680	0.000044340	0.000000200	0.000610580	0.000005460	340	0.000022050	0.000000430	0.000303451	0.000001590
3	0x5de5b4	14805	3	1	1	0.000000880	0.000000880	0.006601686	0.006601686	8	0.000003600	0.000000760	0.002532811	0.000657960	4	0.000001900	0.000000610	0.001037382	0.000371131
3	0x62abd9	162996	1	-1	1	0.000000310	0.000000310	0.000461970	0.000461970	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000023470	0.000004290	0.000168620	0.000004600	10230	0.000609840	0.000001610	0.004648091	0.000011970	3517	0.000212700	0.000001550	0.001617492	0.000011590
3	0x628017	7560	2	-8	1	0.000004070	0.000004070	0.000199820	0.000199820	43	0.000015530	0.000001370	0.001780453	0.000084540	16	0.000005130	0.000000820	0.000602732	0.000063180
4	0x5dce3c	1	-1	-1	66	0.000061710	0.000020340	0.000023790	0.000002940	692	0.000271810	0.000002990	0.000168460	0.000001510	266	0.000096380	0.000000990	0.000063361	0.000001330
3	0x62abd9	64158	1	-1	2	0.000018970	0.000017270	0.000475851	0.000348271	43	0.000015400	0.000001050	0.006489853	0.000302760	15	0.000004630	0.000000430	0.001981951	0.000155140
1	0x5dfbdb	282	3	-1	94	0.016908843	0.004172934	0.000022030	0.000002230	712	0.071674230	0.000168300	0.000137420	0.000001530	356	0.035846536	0.000182860	0.000065880	0.000001350
1	0x62ac22	128316	1	1	1	0.000000370	0.000000370	0.000000390	0.000000390	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000000250	0.000000250	0.000019190	0.000019190	8	0.000004650	0.000001420	0.000455280	0.000315190	4	0.000001570	0.000000540	0.000422600	0.000362320
1	0x62420d	10404	4	-8	1	0.000044900	0.000044900	0.000000490	0.000000490	8	0.000476681	0.000071980	0.000040070	0.000014530	4	0.000264760	0.000075400	0.000014760	0.000012590
3	0x5de5b4	3885	3	1	17	0.000008450	0.000003270	0.000899720	0.000276360	217	0.000065900	0.000001410	0.008839552	0.000198360	78	0.000023240	0.000000640	0.002857982	0.000127320
3	0x5e6832	228	3	1	85	0.000007710	0.000002220	0.000088071	0.000001450	3740	0.000256680	0.000000890	0.003881635	0.000006920	1275	0.000087050	0.000000590	0.001344291	0.000012030
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000140190	0.000028380	0.002839263	0.000504770	4	0.000059900	0.000017630	0.000853010	0.000281750
1	0x621701	7770	3	-1	1	0.000057640	0.000057640	0.000002110	0.000002110	43	0.002512112	0.000075090	0.000028930	0.000001560	16	0.000983383	0.000070220	0.000013460	0.000001420
3	0x64a1c4	55080	2	-8	1	0.000000260	0.000000260	0.000280300	0.000280300	43	0.000019030	0.000001430	0.006307257	0.001169331	16	0.000006560	0.000000710	0.002965054	0.001280582
1	0x5d4bb5	11655	3	-1	1	0.008690338	0.008690338	0.000001870	0.000001870	43	0.383609321	0.015263274	0.000064400	0.000002950	16	0.137438742	0.008656419	0.000025110	0.000002700
1	0x62806d	7560	2	8	1	0.000000240	0.000000240	0.000000090	0.000000090	43	0.000015860	0.000001020	0.000009710	0.000000840	16	0.000007410	0.000001160	0.000001610	0.000000130
3	0x5e6875	444	1	-1	98	0.000009170	0.000001730	0.000107591	0.000007800	3871	0.000272150	0.000000980	0.002937292	0.000007570	1320	0.000094880	0.000000950	0.000982941	0.000005100
3	0x62ab93	81498	3	1	1	0.000006240	0.000006240	0.000180850	0.000180850	32	0.000021330	0.000002450	0.013715890	0.001875461	16	0.000015080	0.000008840	0.007847951	0.001469211
1	0x621701	9588	3	-1	1	0.007322787	0.007322787	0.000006940	0.000006940	8	0.065100182	0.008266868	0.000046890	0.000006910	4	0.032691372	0.008216798	0.000018060	0.000006800
1	0x5dfbdb	288	3	-1	85	0.000582040	0.000050060	0.000012920	0.000001220	680	0.004445946	0.000032050	0.000098220	0.000001340	340	0.002200730	0.000051380	0.000049650	0.000002000
3	0x5db80c	2601	4	8	1	0.000000230	0.000000230	0.000145980	0.000145980	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	162996	3	-1	1	0.007691797	0.007691797	0.000001970	0.000001970	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3672	4	8	1	0.000000180	0.000000180	0.000061040	0.000061040	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
