#rank=5	host=i17r2n08	pid=24010	events=342847	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5d4bb5	13860	3	-1	1	0.017790639	0.017790639	0.000002260	0.000002260	8	0.129959412	0.016374738	0.000018100	0.000003630	4	0.064849831	0.016235707	0.000008430	0.000002450
1	0x5e4722	108	2	8	290	0.000061310	0.000002040	0.000027210	0.000000640	10230	0.002101781	0.000008520	0.000916211	0.000001440	3517	0.000729830	0.000005230	0.000327070	0.000009830
3	0x5e46a2	216	4	8	98	0.000010140	0.000002000	0.000080950	0.000002800	3912	0.000256491	0.000000770	0.003121301	0.000009420	1339	0.000087360	0.000000400	0.001054850	0.000008960
1	0x62ac22	192474	1	1	2	0.000011910	0.000010600	0.000001040	0.000000800	43	0.000043730	0.000007960	0.000019210	0.000001140	15	0.000013470	0.000001460	0.000006350	0.000000760
3	0x5de5b4	17952	3	1	2	0.000002410	0.000001920	0.000069060	0.000035710	8	0.000005730	0.000000880	0.000447371	0.000135780	4	0.000002870	0.000000970	0.000237120	0.000067640
6	0x55fc42	463624	-1	-1	1	0.002781161	0.002781161	0.009908635	0.009908635	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e68b2	264	1	1	94	0.000017850	0.000003870	0.000009360	0.000000630	712	0.000070840	0.000006060	0.000082960	0.000001650	356	0.000032660	0.000000800	0.000043780	0.000001590
1	0x62806d	7344	2	8	1	0.000023170	0.000023170	0.000000420	0.000000420	43	0.001167230	0.000044390	0.000021070	0.000001260	16	0.000434950	0.000035630	0.000007290	0.000001020
1	0x62ac22	7548	1	1	1	0.000001700	0.000001700	0.000000490	0.000000490	43	0.000041510	0.000002150	0.000017100	0.000000880	16	0.000015220	0.000001880	0.000007200	0.000001020
3	0x5e46a2	312	4	8	85	0.000007980	0.000002320	0.000075830	0.000001500	680	0.000048150	0.000001510	0.000582830	0.000006940	340	0.000023580	0.000000740	0.000299260	0.000004850
3	0x5e6875	111	1	-1	290	0.000028000	0.000008100	0.000199960	0.000004880	10230	0.000624761	0.000007540	0.004682451	0.000012030	3517	0.000207330	0.000000680	0.001636282	0.000011320
1	0x5de640	9240	1	1	1	0.000000690	0.000000690	0.000000180	0.000000180	8	0.000011330	0.000008130	0.000002180	0.000000560	4	0.000002230	0.000000670	0.000001340	0.000000620
3	0x5e6875	396	1	-1	1	0.000001350	0.000001350	0.000001210	0.000001210	8	0.000001320	0.000000190	0.000008510	0.000001320	4	0.000000620	0.000000160	0.000003210	0.000001230
4	0x5dce3c	1	-1	-1	66	0.000079690	0.000020040	0.001384990	0.000520080	692	0.000262650	0.000002810	0.020617042	0.002977642	266	0.000097450	0.000001250	0.006694764	0.000506151
1	0x621701	9240	3	-1	1	0.000090820	0.000090820	0.000000230	0.000000230	8	0.000736581	0.000103980	0.000003850	0.000000660	4	0.000360770	0.000107770	0.000002350	0.000000800
3	0x62abd9	64158	1	-1	2	0.000006310	0.000004710	0.000856300	0.000429650	43	0.000033460	0.000001350	0.021757243	0.002483082	15	0.000010680	0.000001160	0.007392185	0.001038550
3	0x5e6832	396	3	1	1	0.000000170	0.000000170	0.000001540	0.000001540	8	0.000001320	0.000000200	0.000012380	0.000001640	4	0.000000620	0.000000170	0.000005800	0.000001570
1	0x5dfbdb	282	3	-1	85	0.000666040	0.000177050	0.000012110	0.000001280	680	0.004203664	0.000040700	0.000081930	0.000000560	340	0.002088331	0.000041480	0.000040691	0.000000370
1	0x62ac22	128316	1	1	1	0.000000590	0.000000590	0.000000180	0.000000180	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000002720	0.000002720	0.003498091	0.003498091	8	0.000004820	0.000001880	0.012480516	0.004372662	4	0.000001660	0.000000770	0.002613731	0.000818390
3	0x5de5b4	3885	3	1	17	0.000008870	0.000003530	0.000630760	0.000147910	217	0.000050580	0.000001140	0.003028852	0.000082800	78	0.000017960	0.000000650	0.001039900	0.000019610
3	0x5e6875	132	1	-1	268	0.000025830	0.000005370	0.000302150	0.000010460	1888	0.000145710	0.000008450	0.001181031	0.000011890	944	0.000067570	0.000000570	0.000584881	0.000006380
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000167230	0.000031530	0.002761152	0.000501880	4	0.000070450	0.000019140	0.000614080	0.000172290
1	0x621701	7770	3	-1	1	0.000059890	0.000059890	0.000000390	0.000000390	43	0.002903813	0.000083500	0.000016420	0.000000810	16	0.001084303	0.000078460	0.000005800	0.000000870
1	0x5d4bb5	11655	3	-1	1	0.008295054	0.008295054	0.000002790	0.000002790	43	0.371032106	0.014746967	0.000117991	0.000003740	16	0.131459503	0.008348394	0.000047030	0.000004100
1	0x62806d	7560	2	8	1	0.000018030	0.000018030	0.000000240	0.000000240	43	0.000919211	0.000031700	0.000011380	0.000000780	16	0.000342280	0.000032010	0.000003210	0.000000280
1	0x62e7c0	16320	713	31	2	0.002078330	0.001419350	0.000003660	0.000003200	8	0.005525712	0.000771380	0.000007700	0.000002560	4	0.002753261	0.000721470	0.000003130	0.000000940
3	0x5e6875	444	1	-1	98	0.000010680	0.000002030	0.000104680	0.000004480	3871	0.000271170	0.000000890	0.003236322	0.000008360	1320	0.000093230	0.000001250	0.001083340	0.000004720
3	0x5db80c	2601	4	8	1	0.000004050	0.000004050	0.000087640	0.000087640	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5fa	8976	1	-1	9	0.000005410	0.000001700	0.000497521	0.000120550	56	0.000019430	0.000001760	0.002012630	0.000092120	28	0.000009550	0.000000730	0.002399572	0.001157871
3	0x5db80c	3672	4	8	1	0.000000080	0.000000080	0.000436800	0.000436800	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	1887	3	1	1	0.000002170	0.000002170	0.000003830	0.000003830	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10404	4	8	9	0.000007940	0.000002340	0.003295422	0.001814071	56	0.000027850	0.000001230	0.007940124	0.000978900	28	0.000013770	0.000000940	0.002637221	0.000218900
3	0x5e6832	222	3	1	183	0.000017090	0.000002060	0.000193350	0.000007510	7652	0.000541430	0.000001140	0.007844924	0.000009430	2614	0.000185600	0.000000910	0.002650903	0.000002170
1	0x5de640	1887	1	1	1	0.000003060	0.000003060	0.000000120	0.000000120	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e4722	324	2	8	5	0.000004480	0.000001290	0.000001690	0.000000920	130	0.000108600	0.000001610	0.000028780	0.000001560	45	0.000035660	0.000001490	0.000014480	0.000001410
3	0x62abd9	128316	1	-1	1	0.000000570	0.000000570	0.000329271	0.000329271	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5fa	2244	1	-1	1	0.000003990	0.000003990	0.000017970	0.000017970	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
4	0x5e565b	1	-1	-1	1120	0.000460541	0.000335321	0.007445454	0.001234001	25883	0.002373310	0.000006980	0.078069685	0.005368113	9496	0.000859720	0.000001090	0.027799829	0.000741460
