#rank=35	host=i17r2n10	pid=23444	events=457818	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000021430	0.000001940	0.000031370	0.000000940	10230	0.000632731	0.000005970	0.001019831	0.000007560	3517	0.000215190	0.000000410	0.000350259	0.000000880
1	0x5d4bb5	14805	3	-1	1	0.024564753	0.024564753	0.000002750	0.000002750	8	0.138343552	0.018097898	0.000018770	0.000003140	4	0.068377306	0.017188547	0.000009780	0.000003200
3	0x5e46a2	216	4	8	98	0.000017700	0.000002210	0.000088330	0.000005210	3912	0.000718300	0.000001330	0.003303594	0.000009000	1339	0.000232750	0.000000790	0.001120611	0.000001970
1	0x62420d	176868	4	-8	1	0.002986643	0.002986643	0.000001720	0.000001720	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000018960	0.000018490	0.000000580	0.000000340	43	0.000029880	0.000008600	0.000012800	0.000000690	15	0.000008400	0.000001490	0.000004350	0.000000580
1	0x6481e0	71910	3	-1	1	0.001099161	0.001099161	0.000003640	0.000003640	8	0.007975037	0.001199651	0.000008490	0.000001690	4	0.004682834	0.001174151	0.000005720	0.000001750
1	0x5e1aea	312	4	-8	85	0.000050080	0.000001570	0.000009840	0.000000590	680	0.000410300	0.000002200	0.000080050	0.000000800	340	0.000204670	0.000002490	0.000039150	0.000001330
1	0x5e68b2	564	1	1	96	0.000008410	0.000000750	0.000009730	0.000000920	712	0.000056690	0.000001210	0.000068551	0.000001220	356	0.000027220	0.000000590	0.000033600	0.000001010
6	0x55fc42	463624	-1	-1	1	0.002752382	0.002752382	0.009777220	0.009777220	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000075060	0.000001620	0.000048160	0.000006080	10230	0.002486734	0.000007430	0.001099009	0.000006350	3517	0.000847401	0.000002420	0.000368150	0.000000810
