#rank=55	host=i17r2n11	pid=3788	events=342847	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5d4bb5	14805	3	-1	1	0.019853289	0.019853289	0.000002640	0.000002640	8	0.133234691	0.016760314	0.000024810	0.000004310	4	0.067049607	0.017246715	0.000010080	0.000002980
1	0x64a20d	50490	2	8	1	0.000000310	0.000000310	0.000000180	0.000000180	43	0.000017710	0.000000980	0.000023550	0.000001510	16	0.000007350	0.000000940	0.000008090	0.000001120
1	0x6481e0	71910	3	-1	1	0.000477030	0.000477030	0.000004200	0.000004200	8	0.003218515	0.000530211	0.000007480	0.000001200	4	0.001767781	0.000483270	0.000003270	0.000001190
1	0x62806d	6732	2	8	1	0.000000290	0.000000290	0.000000810	0.000000810	43	0.000019690	0.000000710	0.000047850	0.000009780	16	0.000006810	0.000000600	0.000011240	0.000001480
3	0x627fc6	10080	4	8	1	0.000002180	0.000002180	0.000018480	0.000018480	8	0.000002910	0.000000990	0.000139120	0.000025470	4	0.000002660	0.000001400	0.000068000	0.000017850
6	0x55fc42	463624	-1	-1	1	0.002621004	0.002621004	0.009854824	0.009854824	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5db89e	19584	2	8	2	0.000003730	0.000003110	0.000001170	0.000001060	8	0.000004540	0.000001660	0.000002070	0.000000340	4	0.000002890	0.000001600	0.000001660	0.000000940
1	0x5e4722	99	2	8	290	0.000019520	0.000002160	0.000048480	0.000000890	10230	0.000607082	0.000005950	0.001702349	0.000001190	3517	0.000206110	0.000000650	0.000610351	0.000007160
3	0x5e46a2	99	4	8	290	0.000038530	0.000002380	0.000254780	0.000005870	10230	0.001504903	0.000004990	0.007318144	0.000008900	3517	0.000460590	0.000000610	0.002522355	0.000010250
3	0x628017	6930	2	-8	1	0.000000410	0.000000410	0.000017150	0.000017150	43	0.000020220	0.000001640	0.015210261	0.008463232	16	0.000005370	0.000000450	0.001705865	0.000912501
3	0x62abd9	162996	1	-1	1	0.000133261	0.000133261	0.000924451	0.000924451	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3465	4	8	17	0.000007820	0.000003110	0.000678460	0.000267550	217	0.000044390	0.000001270	0.001958862	0.000020470	78	0.000015830	0.000000620	0.000678510	0.000018300
3	0x5e6875	111	1	-1	290	0.000032860	0.000011780	0.000210960	0.000008920	10230	0.000651720	0.000008390	0.004687394	0.000007460	3517	0.000225110	0.000007310	0.001632781	0.000007750
1	0x648ea1	73440	4	-8	1	0.000334991	0.000334991	0.000000410	0.000000410	8	0.002744426	0.000373141	0.000016870	0.000011310	4	0.001441764	0.000373931	0.000005300	0.000002070
3	0x5e46a2	198	4	8	98	0.000014731	0.000001770	0.000073960	0.000002780	3912	0.000694042	0.000006170	0.002854773	0.000008900	1339	0.000212940	0.000000570	0.000965130	0.000001220
4	0x5dce3c	1	-1	-1	66	0.000073710	0.000018220	0.005728989	0.001374632	692	0.000254951	0.000007870	0.112854598	0.006881200	266	0.000098871	0.000001800	0.023968629	0.000968972
3	0x62abd9	64158	1	-1	2	0.000003590	0.000001830	0.001099562	0.000620421	43	0.000064380	0.000004450	0.025301025	0.002484354	15	0.000022890	0.000002280	0.007520961	0.001016362
3	0x5e46a2	144	4	8	268	0.000036400	0.000002640	0.000258640	0.000006840	1888	0.000282591	0.000001150	0.001291701	0.000009160	944	0.000146740	0.000000540	0.000643651	0.000007420
1	0x5dfbdb	282	3	-1	94	0.018695109	0.004324466	0.000022900	0.000003270	712	0.070160582	0.000191540	0.000122880	0.000000870	356	0.035095089	0.000189560	0.000061470	0.000000340
3	0x627fc6	6732	4	8	1	0.000000410	0.000000410	0.000023330	0.000023330	43	0.000025510	0.000002160	0.003475764	0.001245491	16	0.000007720	0.000000810	0.000283690	0.000020080
3	0x5db80c	13464	4	8	4	0.000003040	0.000001760	0.000167951	0.000100681	87	0.000033040	0.000001460	0.002118174	0.000033371	30	0.000010550	0.000000720	0.000684530	0.000027250
1	0x5e4722	396	2	8	98	0.000010960	0.000002140	0.000032630	0.000001300	3871	0.000301320	0.000001550	0.001354433	0.000009150	1320	0.000101040	0.000000900	0.000426901	0.000001660
1	0x5e1aea	198	4	-8	98	0.000068301	0.000003590	0.000015100	0.000000970	3912	0.002405013	0.000003410	0.000534911	0.000001030	1339	0.000822560	0.000004300	0.000185020	0.000000800
1	0x5e1aea	288	4	-8	94	0.000077960	0.000005620	0.000018360	0.000001130	712	0.000530500	0.000004350	0.000111810	0.000000910	356	0.000267980	0.000003980	0.000056460	0.000001090
1	0x5db89e	9792	2	8	9	0.000006750	0.000002540	0.000003480	0.000001050	56	0.000020530	0.000000780	0.000025510	0.000001290	28	0.000010300	0.000000760	0.000009670	0.000001300
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000114210	0.000023720	0.002151722	0.000571431	4	0.000057160	0.000016180	0.000622291	0.000196330
1	0x621701	7770	3	-1	1	0.000042700	0.000042700	0.000000510	0.000000510	43	0.002096472	0.000065020	0.000013720	0.000000550	16	0.000818670	0.000057440	0.000005390	0.000000720
1	0x5d4bb5	11655	3	-1	1	0.007985312	0.007985312	0.000002500	0.000002500	43	0.339761213	0.007981161	0.000086400	0.000002920	16	0.127523222	0.009045223	0.000031030	0.000003200
1	0x62806d	114444	2	8	1	0.000020170	0.000020170	0.000000320	0.000000320	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62420d	6930	4	-8	1	0.000042050	0.000042050	0.000000190	0.000000190	43	0.001714394	0.000046880	0.000014580	0.000003200	16	0.000611122	0.000046870	0.000003590	0.000000340
