#rank=1	host=i17r2n08	pid=24006	events=342847	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5d4bb5	13860	3	-1	1	0.017132038	0.017132038	0.000002710	0.000002710	8	0.139831068	0.026860413	0.000020860	0.000004910	4	0.064976690	0.016483348	0.000009260	0.000003230
1	0x5e4722	108	2	8	290	0.000063490	0.000001120	0.000026160	0.000000490	10230	0.002103764	0.000005090	0.000883660	0.000001250	3517	0.000732031	0.000006590	0.000300451	0.000000760
3	0x5e46a2	216	4	8	98	0.000015570	0.000005400	0.000086270	0.000004790	3912	0.000265710	0.000001160	0.003179121	0.000024840	1339	0.000091940	0.000000560	0.001074601	0.000008940
1	0x62ac22	192474	1	1	2	0.000014980	0.000014330	0.000000500	0.000000270	43	0.000036240	0.000008300	0.000014470	0.000000700	15	0.000011100	0.000001560	0.000005400	0.000000560
3	0x5de5b4	17952	3	1	2	0.000003270	0.000002780	0.000831810	0.000796110	8	0.000004520	0.000000640	0.001164521	0.000252030	4	0.000002200	0.000000820	0.000546090	0.000173600
6	0x55fc42	463624	-1	-1	1	0.002653271	0.002653271	0.010075775	0.010075775	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e68b2	264	1	1	94	0.000014790	0.000002240	0.000009560	0.000000600	712	0.000062700	0.000002920	0.000065630	0.000000110	356	0.000030520	0.000000830	0.000032930	0.000000140
1	0x62806d	7344	2	8	1	0.000023720	0.000023720	0.000000440	0.000000440	43	0.001122500	0.000040900	0.000025290	0.000001730	16	0.000415080	0.000034480	0.000010310	0.000001710
1	0x62ac22	7548	1	1	1	0.000001250	0.000001250	0.000000440	0.000000440	43	0.000029890	0.000001290	0.000018090	0.000000850	16	0.000012500	0.000001330	0.000006900	0.000000790
3	0x5e46a2	312	4	8	85	0.000010920	0.000005620	0.000081790	0.000004290	680	0.000045940	0.000000900	0.000585290	0.000001670	340	0.000022540	0.000000320	0.000302540	0.000007510
3	0x5e6875	111	1	-1	290	0.000031030	0.000006510	0.000184750	0.000007680	10230	0.000603321	0.000007370	0.004766603	0.000013760	3517	0.000206010	0.000000980	0.001636840	0.000008960
1	0x5de640	9240	1	1	1	0.000000390	0.000000390	0.000000620	0.000000620	8	0.000009560	0.000005170	0.000002850	0.000000470	4	0.000002040	0.000000790	0.000001420	0.000000570
3	0x5e6875	396	1	-1	1	0.000001120	0.000001120	0.000000690	0.000000690	8	0.000001300	0.000000180	0.000005660	0.000001050	4	0.000000630	0.000000160	0.000002580	0.000000750
4	0x5dce3c	1	-1	-1	66	0.000120600	0.000057750	0.000032640	0.000004400	692	0.000242450	0.000002080	0.000224050	0.000001800	266	0.000088570	0.000001010	0.000086930	0.000001220
1	0x621701	9240	3	-1	1	0.000068330	0.000068330	0.000000850	0.000000850	8	0.000632960	0.000120100	0.000005990	0.000001140	4	0.000277440	0.000083190	0.000003450	0.000000970
3	0x62abd9	64158	1	-1	2	0.000003140	0.000002760	0.000424800	0.000285090	43	0.000015880	0.000001150	0.012186024	0.002925871	15	0.000005970	0.000000900	0.002933821	0.000569881
3	0x5e6832	396	3	1	1	0.000000160	0.000000160	0.000001160	0.000001160	8	0.000001190	0.000000170	0.000010600	0.000001500	4	0.000000660	0.000000170	0.000005310	0.000001440
1	0x5dfbdb	282	3	-1	85	0.000551930	0.000062830	0.000013510	0.000001940	680	0.004119544	0.000029930	0.000098970	0.000001780	340	0.002045730	0.000023200	0.000049360	0.000001760
1	0x62ac22	128316	1	1	1	0.000000380	0.000000380	0.000000170	0.000000170	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000002870	0.000002870	0.008354434	0.008354434	8	0.000002740	0.000001440	0.009833625	0.004099711	4	0.000000770	0.000000240	0.002866221	0.000862820
3	0x5de5b4	3885	3	1	17	0.000009240	0.000003540	0.000493001	0.000086640	217	0.000060530	0.000001210	0.006419056	0.000371860	78	0.000023630	0.000000810	0.001735220	0.000150530
3	0x5e6875	132	1	-1	268	0.000024330	0.000003830	0.000248840	0.000009630	1888	0.000124430	0.000000860	0.001034180	0.000007720	944	0.000062340	0.000000950	0.000511870	0.000007550
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000140320	0.000029460	0.002854822	0.000507921	4	0.000055300	0.000015270	0.000851440	0.000286730
