#rank=34	host=i17r2n10	pid=23443	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000020260	0.000002020	0.000030770	0.000000860	10230	0.000608930	0.000000840	0.001108491	0.000009290	3517	0.000210801	0.000001110	0.000382250	0.000006390
1	0x5d4bb5	14805	3	-1	1	0.023965603	0.023965603	0.000004800	0.000004800	8	0.135891339	0.017119986	0.000027500	0.000005430	4	0.067810855	0.017058556	0.000011840	0.000003340
3	0x5e46a2	216	4	8	98	0.000016500	0.000002110	0.000081570	0.000002430	3912	0.000431300	0.000008040	0.003168023	0.000008790	1339	0.000127710	0.000000810	0.001084661	0.000007730
1	0x62420d	176868	4	-8	1	0.002422333	0.002422333	0.000003780	0.000003780	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000034780	0.000033940	0.000000990	0.000000580	43	0.000030820	0.000001390	0.000013130	0.000000830	15	0.000022430	0.000011490	0.000004690	0.000000650
1	0x6481e0	71910	3	-1	1	0.001047901	0.001047901	0.000008060	0.000008060	8	0.007941257	0.001217221	0.000016620	0.000004030	4	0.004743224	0.001205621	0.000005210	0.000002450
1	0x5e1aea	312	4	-8	85	0.000049780	0.000002720	0.000009920	0.000000620	680	0.000408240	0.000008040	0.000080680	0.000000870	340	0.000198970	0.000002910	0.000038460	0.000000890
1	0x5e68b2	564	1	1	96	0.000008560	0.000000810	0.000008950	0.000000230	712	0.000056431	0.000000580	0.000064120	0.000000470	356	0.000028820	0.000000770	0.000031950	0.000000480
6	0x55fc42	463624	-1	-1	1	0.003297053	0.003297053	0.009265919	0.009265919	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000075070	0.000002920	0.000042030	0.000000790	10230	0.002475391	0.000003780	0.001109331	0.000012480	3517	0.000872670	0.000007520	0.000374070	0.000001200
1	0x62806d	7344	2	8	1	0.000000700	0.000000700	0.000000470	0.000000470	43	0.000024440	0.000002590	0.000032250	0.000001380	16	0.000009310	0.000001790	0.000013780	0.000001290
1	0x62ac22	7548	1	1	1	0.000000680	0.000000680	0.000000320	0.000000320	43	0.000043370	0.000006780	0.000017270	0.000000950	16	0.000015850	0.000001410	0.000007950	0.000000730
3	0x5e46a2	312	4	8	85	0.000006430	0.000001090	0.000093820	0.000008360	680	0.000044340	0.000000390	0.000574560	0.000001310	340	0.000022650	0.000000320	0.000289101	0.000001560
3	0x5de5b4	14805	3	1	1	0.000000570	0.000000570	0.000592860	0.000592860	8	0.000005560	0.000000960	0.002622443	0.001334682	4	0.000003130	0.000000920	0.000650040	0.000201720
3	0x62abd9	162996	1	-1	1	0.000000910	0.000000910	0.000846851	0.000846851	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000022720	0.000002480	0.000342500	0.000005300	10230	0.000634012	0.000001170	0.011127129	0.000010071	3517	0.000220730	0.000000990	0.003846121	0.000008650
3	0x628017	7560	2	-8	1	0.000002800	0.000002800	0.000199520	0.000199520	43	0.000015380	0.000000890	0.012191041	0.006552176	16	0.000006470	0.000001620	0.000501592	0.000053000
4	0x5dce3c	1	-1	-1	66	0.000058260	0.000017500	0.002106522	0.001905022	692	0.000255350	0.000001860	0.000491460	0.000034920	266	0.000098930	0.000001890	0.000352550	0.000048320
3	0x62abd9	64158	1	-1	2	0.000031810	0.000031550	0.000700421	0.000417141	43	0.000024790	0.000001110	0.017108440	0.002976393	15	0.000008850	0.000001530	0.004011152	0.000297110
