#rank=49	host=i17r2n11	pid=3782	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000020450	0.000001890	0.000040530	0.000000390	10230	0.000626342	0.000001180	0.001396722	0.000009300	3517	0.000216290	0.000000760	0.000484231	0.000000730
1	0x5d4bb5	14805	3	-1	1	0.018190416	0.018190416	0.000002470	0.000002470	8	0.148526373	0.030501404	0.000015540	0.000003690	4	0.067252056	0.016904844	0.000008090	0.000002770
3	0x5e46a2	216	4	8	98	0.000017950	0.000002170	0.000090431	0.000005100	3912	0.000606681	0.000007210	0.003330055	0.000013100	1339	0.000207710	0.000000900	0.001128511	0.000001830
1	0x62420d	176868	4	-8	1	0.002794824	0.002794824	0.000001550	0.000001550	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000022760	0.000022020	0.000000460	0.000000270	43	0.000038900	0.000007490	0.000017360	0.000001240	15	0.000017830	0.000006250	0.000005360	0.000000750
1	0x6481e0	71910	3	-1	1	0.000584901	0.000584901	0.000003730	0.000003730	8	0.007695271	0.001019352	0.000004670	0.000000770	4	0.003672525	0.000973481	0.000002320	0.000001000
1	0x5e1aea	312	4	-8	85	0.000050430	0.000001640	0.000009710	0.000000570	680	0.000394751	0.000001770	0.000075590	0.000000750	340	0.000199490	0.000001390	0.000036970	0.000000480
1	0x5e68b2	564	1	1	96	0.000007900	0.000000680	0.000008380	0.000000220	712	0.000057310	0.000001060	0.000062830	0.000001210	356	0.000028100	0.000000750	0.000030120	0.000000120
6	0x55fc42	463624	-1	-1	1	0.002733604	0.002733604	0.009904894	0.009904894	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000081110	0.000005770	0.000038250	0.000000700	10230	0.002512614	0.000008310	0.001069211	0.000010560	3517	0.000859373	0.000001950	0.000369200	0.000007500
1	0x62806d	7344	2	8	1	0.000000250	0.000000250	0.000000810	0.000000810	43	0.000021420	0.000002410	0.000039690	0.000001560	16	0.000007550	0.000001950	0.000016410	0.000001440
1	0x62ac22	7548	1	1	1	0.000001180	0.000001180	0.000000570	0.000000570	43	0.000033040	0.000001700	0.000020150	0.000001220	16	0.000014330	0.000001220	0.000008570	0.000001140
3	0x5e46a2	312	4	8	85	0.000006760	0.000001340	0.000088100	0.000004040	680	0.000044460	0.000000210	0.000628060	0.000001490	340	0.000022220	0.000000160	0.000320000	0.000005880
3	0x5de5b4	14805	3	1	1	0.000000510	0.000000510	0.007817072	0.007817072	8	0.000003510	0.000000630	0.001624330	0.000620280	4	0.000001950	0.000000630	0.000700322	0.000278101
3	0x62abd9	162996	1	-1	1	0.000000270	0.000000270	0.000593260	0.000593260	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000022520	0.000003920	0.000165420	0.000008230	10230	0.000618490	0.000001550	0.004474417	0.000011940	3517	0.000213190	0.000000930	0.001536085	0.000011020
3	0x628017	7560	2	-8	1	0.000003430	0.000003430	0.000224151	0.000224151	43	0.000012590	0.000002090	0.002701983	0.000348410	16	0.000005640	0.000001730	0.002391263	0.001737972
4	0x5dce3c	1	-1	-1	66	0.000063770	0.000018330	0.000028070	0.000003600	692	0.000230590	0.000002300	0.000179940	0.000001400	266	0.000097030	0.000002530	0.000069720	0.000001490
3	0x62abd9	64158	1	-1	2	0.000015500	0.000015260	0.000261460	0.000148270	43	0.000014390	0.000001260	0.007536075	0.001339972	15	0.000005860	0.000000950	0.002070874	0.000171430
1	0x5dfbdb	282	3	-1	94	0.018837646	0.006696289	0.000027230	0.000006400	712	0.071914440	0.000178820	0.000140170	0.000006200	356	0.035883432	0.000170661	0.000065480	0.000000820
1	0x62ac22	128316	1	1	1	0.000000730	0.000000730	0.000000300	0.000000300	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000000280	0.000000280	0.000062410	0.000062410	8	0.000003660	0.000001310	0.002996704	0.002848154	4	0.000002060	0.000001330	0.000079330	0.000021150
1	0x62420d	10404	4	-8	1	0.000059260	0.000059260	0.000000330	0.000000330	8	0.000543653	0.000094061	0.000022210	0.000010900	4	0.000295250	0.000086520	0.000001950	0.000000770
3	0x5de5b4	3885	3	1	17	0.000009200	0.000003490	0.000942491	0.000248271	217	0.000053260	0.000001060	0.008523930	0.000193350	78	0.000019080	0.000001010	0.002968166	0.000194340
3	0x5e6832	228	3	1	85	0.000008000	0.000002230	0.000089390	0.000001620	3740	0.000273531	0.000000870	0.003938711	0.000008900	1275	0.000093190	0.000000910	0.001333162	0.000009120
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000134430	0.000027560	0.002851665	0.000507881	4	0.000059990	0.000020190	0.000854771	0.000273791
1	0x621701	7770	3	-1	1	0.000060150	0.000060150	0.000001370	0.000001370	43	0.002531863	0.000075730	0.000030140	0.000001460	16	0.000944810	0.000064790	0.000010720	0.000000930
3	0x64a1c4	55080	2	-8	1	0.000000370	0.000000370	0.000056630	0.000056630	43	0.000018721	0.000001460	0.010286352	0.001577463	16	0.000009020	0.000001840	0.001611143	0.000195220
1	0x5d4bb5	11655	3	-1	1	0.008691992	0.008691992	0.000000910	0.000000910	43	0.379167279	0.015555762	0.000050751	0.000003450	16	0.137615667	0.008641762	0.000016750	0.000001650
1	0x62806d	7560	2	8	1	0.000000270	0.000000270	0.000000110	0.000000110	43	0.000015220	0.000000800	0.000010500	0.000001380	16	0.000005050	0.000000460	0.000005210	0.000000710
3	0x5e6875	444	1	-1	98	0.000009440	0.000001930	0.000107860	0.000008840	3871	0.000277982	0.000008400	0.003268713	0.000008220	1320	0.000089650	0.000000830	0.001123540	0.000005660
3	0x62ab93	81498	3	1	1	0.000010610	0.000010610	0.000737071	0.000737071	32	0.000017850	0.000002050	0.010179094	0.001633783	16	0.000009490	0.000002110	0.004843534	0.000532310
1	0x621701	9588	3	-1	1	0.008673153	0.008673153	0.000004280	0.000004280	8	0.068475017	0.011079016	0.000043060	0.000007610	4	0.031258544	0.007905911	0.000022820	0.000006630
1	0x5dfbdb	288	3	-1	85	0.000595471	0.000062010	0.000012650	0.000001170	680	0.004387010	0.000031170	0.000094290	0.000001010	340	0.002208075	0.000038340	0.000047910	0.000001070
3	0x5db80c	2601	4	8	1	0.000000210	0.000000210	0.000149990	0.000149990	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	162996	3	-1	1	0.007848882	0.007848882	0.000001540	0.000001540	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3672	4	8	1	0.000000170	0.000000170	0.000008450	0.000008450	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	1887	3	1	1	0.000002400	0.000002400	0.000002990	0.000002990	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10404	4	8	9	0.000007400	0.000003420	0.000265970	0.000096270	56	0.000022290	0.000001160	0.003202177	0.000720181	28	0.000010550	0.000000580	0.000659191	0.000036020
3	0x5e6832	222	3	1	98	0.000010460	0.000001750	0.000104360	0.000001490	3912	0.000288580	0.000000860	0.004084693	0.000009890	1339	0.000097250	0.000000880	0.001397950	0.000007760
1	0x5de640	1887	1	1	1	0.000002460	0.000002460	0.000000120	0.000000120	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e4722	324	2	8	5	0.000001200	0.000000520	0.000001330	0.000000550	130	0.000032780	0.000001810	0.000039480	0.000000770	45	0.000011130	0.000001390	0.000012880	0.000000550
3	0x62abd9	128316	1	-1	1	0.000000520	0.000000520	0.000338800	0.000338800	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
