#rank=39	host=i17r2n10	pid=23448	events=342847	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5d4bb5	14805	3	-1	1	0.018131667	0.018131667	0.000004440	0.000004440	8	0.144531939	0.029435978	0.000021220	0.000004140	4	0.065785614	0.016572426	0.000009200	0.000002560
1	0x64a20d	50490	2	8	1	0.000000740	0.000000740	0.000000220	0.000000220	43	0.000027120	0.000001610	0.000015940	0.000001520	16	0.000009050	0.000000880	0.000003830	0.000000420
1	0x6481e0	71910	3	-1	1	0.000429241	0.000429241	0.000004850	0.000004850	8	0.003255672	0.000455821	0.000010930	0.000003080	4	0.001810641	0.000468451	0.000003910	0.000001170
1	0x62806d	6732	2	8	1	0.000000310	0.000000310	0.000001030	0.000001030	43	0.000021360	0.000001930	0.000041680	0.000001860	16	0.000006910	0.000000550	0.000017890	0.000001610
3	0x627fc6	10080	4	8	1	0.000003460	0.000003460	0.000121150	0.000121150	8	0.000003550	0.000001750	0.000952871	0.000826811	4	0.000002080	0.000001080	0.000067990	0.000020720
6	0x55fc42	463624	-1	-1	1	0.002561792	0.002561792	0.009876390	0.009876390	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5db89e	19584	2	8	2	0.000003380	0.000002910	0.000000480	0.000000260	8	0.000006080	0.000001830	0.000002350	0.000000550	4	0.000002490	0.000001510	0.000001310	0.000000550
1	0x5e4722	99	2	8	290	0.000020500	0.000002280	0.000037870	0.000005660	10230	0.000632372	0.000004340	0.001129300	0.000001410	3517	0.000213760	0.000000340	0.000390979	0.000001470
3	0x5e46a2	99	4	8	290	0.000042930	0.000002660	0.000248180	0.000007280	10230	0.001239419	0.000009260	0.007139257	0.000008900	3517	0.000434280	0.000000660	0.002424712	0.000004990
3	0x628017	6930	2	-8	1	0.000000280	0.000000280	0.000022280	0.000022280	43	0.000016710	0.000000770	0.027574047	0.004982675	16	0.000004750	0.000000450	0.000427840	0.000057890
3	0x62abd9	162996	1	-1	1	0.000011970	0.000011970	0.000592180	0.000592180	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3465	4	8	17	0.000007580	0.000003100	0.000584511	0.000137110	217	0.000054930	0.000001060	0.002219663	0.000052410	78	0.000018040	0.000000870	0.000946191	0.000058960
3	0x5e6875	111	1	-1	290	0.000026930	0.000007290	0.000203000	0.000004890	10230	0.000633460	0.000006000	0.004764624	0.000009990	3517	0.000212640	0.000001070	0.001639972	0.000009670
1	0x648ea1	73440	4	-8	1	0.000320751	0.000320751	0.000001590	0.000001590	8	0.003023433	0.000460150	0.000006240	0.000001240	4	0.001489410	0.000379530	0.000003880	0.000001230
3	0x5e46a2	198	4	8	98	0.000021350	0.000001950	0.000073250	0.000001980	3912	0.000650420	0.000008600	0.002817482	0.000007930	1339	0.000234170	0.000000530	0.000964961	0.000005230
4	0x5dce3c	1	-1	-1	66	0.000081130	0.000024870	0.019571488	0.010174010	692	0.000256440	0.000003070	0.122582552	0.013375883	266	0.000098620	0.000001840	0.036558652	0.001309211
3	0x62abd9	64158	1	-1	2	0.000002420	0.000001330	0.001152081	0.000598920	43	0.000059950	0.000009560	0.020356490	0.000748201	15	0.000015310	0.000001380	0.007374847	0.000666230
3	0x5e46a2	144	4	8	268	0.000040660	0.000002910	0.000260930	0.000008390	1888	0.000230090	0.000000810	0.001247811	0.000005000	944	0.000110830	0.000001120	0.000628390	0.000001540
1	0x5dfbdb	282	3	-1	94	0.021614529	0.006966496	0.000025060	0.000006430	712	0.069605078	0.000193940	0.000119310	0.000000500	356	0.034849874	0.000181160	0.000060340	0.000000470
3	0x627fc6	6732	4	8	1	0.000000400	0.000000400	0.000022570	0.000022570	43	0.000028600	0.000009010	0.003491093	0.001251911	16	0.000007490	0.000000780	0.000265961	0.000020790
3	0x5db80c	13464	4	8	4	0.000003790	0.000002270	0.000111130	0.000031260	87	0.000040830	0.000001730	0.002956402	0.000294630	30	0.000013330	0.000001140	0.000902281	0.000066690
1	0x5e4722	396	2	8	98	0.000010170	0.000002220	0.000010820	0.000001510	3871	0.000273010	0.000000960	0.000416410	0.000002200	1320	0.000092270	0.000000550	0.000144430	0.000002040
1	0x5e1aea	198	4	-8	98	0.000065090	0.000002660	0.000015050	0.000001000	3912	0.002417841	0.000009200	0.000545662	0.000004500	1339	0.000824581	0.000003080	0.000186970	0.000001120
1	0x5e1aea	288	4	-8	94	0.000071770	0.000003080	0.000018160	0.000001110	712	0.000506780	0.000003450	0.000113230	0.000001360	356	0.000257000	0.000003640	0.000060920	0.000001230
1	0x5db89e	9792	2	8	9	0.000007160	0.000002360	0.000004160	0.000001970	56	0.000026140	0.000001120	0.000014980	0.000001760	28	0.000014340	0.000001100	0.000007060	0.000001110
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000121650	0.000023020	0.002128983	0.000568761	4	0.000054440	0.000016320	0.000618800	0.000194040
