#rank=19	host=i17r2n09	pid=6587	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000021640	0.000002400	0.000028600	0.000000700	10230	0.000620750	0.000005400	0.000938052	0.000006090	3517	0.000213351	0.000000890	0.000320660	0.000000910
1	0x5d4bb5	14805	3	-1	1	0.017135126	0.017135126	0.000003400	0.000003400	8	0.135244709	0.017019667	0.000022640	0.000004220	4	0.068788005	0.018152617	0.000008900	0.000002490
3	0x5e46a2	216	4	8	98	0.000019550	0.000002480	0.000088510	0.000003390	3912	0.000557521	0.000005900	0.003158644	0.000011920	1339	0.000176360	0.000001140	0.001089701	0.000001640
1	0x62420d	176868	4	-8	1	0.002808613	0.002808613	0.000002290	0.000002290	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000015710	0.000014940	0.000000460	0.000000240	43	0.000038940	0.000006650	0.000024550	0.000010150	15	0.000008720	0.000000970	0.000005130	0.000000830
1	0x6481e0	71910	3	-1	1	0.001174881	0.001174881	0.000008150	0.000008150	8	0.007951928	0.001184831	0.000010920	0.000002440	4	0.003951483	0.001066721	0.000004300	0.000001740
1	0x5e1aea	312	4	-8	85	0.000049540	0.000001510	0.000012190	0.000000590	680	0.000398550	0.000005380	0.000100281	0.000000910	340	0.000202840	0.000005420	0.000051350	0.000001170
1	0x5e68b2	564	1	1	96	0.000008550	0.000000680	0.000010660	0.000001090	712	0.000056910	0.000000850	0.000067070	0.000001110	356	0.000027710	0.000000490	0.000033990	0.000001340
6	0x55fc42	463624	-1	-1	1	0.003289343	0.003289343	0.009098549	0.009098549	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000073850	0.000002350	0.000054010	0.000008300	10230	0.002404054	0.000008770	0.001218681	0.000009010	3517	0.000823280	0.000004680	0.000412190	0.000001320
1	0x62806d	7344	2	8	1	0.000000320	0.000000320	0.000001020	0.000001020	43	0.000019590	0.000001490	0.000034480	0.000001400	16	0.000007410	0.000000730	0.000013680	0.000001750
1	0x62ac22	7548	1	1	1	0.000001110	0.000001110	0.000000340	0.000000340	43	0.000039510	0.000007820	0.000015780	0.000000930	16	0.000013000	0.000001570	0.000007390	0.000000700
3	0x5e46a2	312	4	8	85	0.000006520	0.000001130	0.000080160	0.000003460	680	0.000046560	0.000000730	0.000603010	0.000005990	340	0.000023570	0.000000840	0.000299260	0.000001760
3	0x5de5b4	14805	3	1	1	0.000000470	0.000000470	0.000380440	0.000380440	8	0.000006070	0.000001570	0.000558461	0.000227740	4	0.000002210	0.000000770	0.000594820	0.000490220
3	0x62abd9	162996	1	-1	1	0.000000250	0.000000250	0.000574251	0.000574251	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000022910	0.000003350	0.000220421	0.000005440	10230	0.000630631	0.000013740	0.005470787	0.000008490	3517	0.000215830	0.000001370	0.001914430	0.000005490
3	0x628017	7560	2	-8	1	0.000004860	0.000004860	0.000181730	0.000181730	43	0.000014380	0.000001720	0.001645812	0.000152780	16	0.000005480	0.000000880	0.000444370	0.000044050
4	0x5dce3c	1	-1	-1	66	0.000274290	0.000223730	0.000654622	0.000326411	692	0.000247990	0.000002110	0.038510003	0.007340277	266	0.000088920	0.000001010	0.003077864	0.001464252
3	0x62abd9	64158	1	-1	2	0.000014680	0.000014400	0.000388000	0.000263290	43	0.000028150	0.000008860	0.014652558	0.002821072	15	0.000007060	0.000000890	0.004175636	0.000392000
1	0x5dfbdb	282	3	-1	94	0.020753794	0.003841853	0.000022460	0.000002670	712	0.072639569	0.000876931	0.000130800	0.000011220	356	0.035916292	0.000187660	0.000061120	0.000000730
1	0x62ac22	128316	1	1	1	0.000000470	0.000000470	0.000000180	0.000000180	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000000600	0.000000600	0.000040970	0.000040970	8	0.000004540	0.000001440	0.016049215	0.009430109	4	0.000001310	0.000000410	0.000383601	0.000317470
1	0x62420d	10404	4	-8	1	0.000047550	0.000047550	0.000001060	0.000001060	8	0.000409760	0.000067640	0.000022500	0.000009860	4	0.000201510	0.000051920	0.000002650	0.000000910
3	0x5de5b4	3885	3	1	17	0.000011350	0.000005100	0.000880630	0.000315150	217	0.000060810	0.000001730	0.007429426	0.002286002	78	0.000021230	0.000000750	0.001446631	0.000178050
3	0x5e6832	228	3	1	85	0.000007410	0.000001770	0.000086960	0.000001400	3740	0.000247200	0.000001010	0.003893769	0.000008100	1275	0.000084240	0.000000580	0.001328933	0.000010650
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000138760	0.000025220	0.002601362	0.000544591	4	0.000068690	0.000025830	0.000781201	0.000357291
1	0x621701	7770	3	-1	1	0.000058900	0.000058900	0.000000430	0.000000430	43	0.002733631	0.000095170	0.000017440	0.000001470	16	0.001063550	0.000080380	0.000006010	0.000000820
3	0x64a1c4	55080	2	-8	1	0.000000860	0.000000860	0.000376810	0.000376810	43	0.000017920	0.000001440	0.008008022	0.000460531	16	0.000005850	0.000000650	0.002454602	0.000235100
1	0x5d4bb5	11655	3	-1	1	0.008763188	0.008763188	0.000002650	0.000002650	43	0.375236419	0.011669511	0.000137780	0.000018190	16	0.138089802	0.008707569	0.000042890	0.000004660
1	0x62806d	7560	2	8	1	0.000000210	0.000000210	0.000000100	0.000000100	43	0.000017140	0.000001890	0.000006460	0.000000560	16	0.000005820	0.000000820	0.000002120	0.000000550
3	0x5e6875	444	1	-1	98	0.000010010	0.000001710	0.000148700	0.000007190	3871	0.000281579	0.000001690	0.004960015	0.000011170	1320	0.000093570	0.000000850	0.001705990	0.000007720
3	0x62ab93	81498	3	1	1	0.000011220	0.000011220	0.000170000	0.000170000	32	0.000021920	0.000005320	0.011441791	0.005322345	16	0.000006500	0.000000700	0.002820733	0.000493240
1	0x621701	9588	3	-1	1	0.013311803	0.013311803	0.000007440	0.000007440	8	0.065566693	0.008305668	0.000038690	0.000008730	4	0.032916942	0.008270708	0.000019740	0.000006530
1	0x5dfbdb	288	3	-1	85	0.000625110	0.000078680	0.000012130	0.000000620	680	0.004464642	0.000046131	0.000088060	0.000000950	340	0.002245050	0.000041150	0.000043720	0.000001500
3	0x5db80c	2601	4	8	1	0.000000170	0.000000170	0.000155040	0.000155040	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	162996	3	-1	1	0.008721368	0.008721368	0.000002520	0.000002520	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3672	4	8	1	0.000000170	0.000000170	0.000097680	0.000097680	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	1887	3	1	1	0.000002350	0.000002350	0.000003900	0.000003900	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10404	4	8	9	0.000007040	0.000003320	0.000487191	0.000199391	56	0.000027470	0.000006110	0.001464081	0.000145480	28	0.000009680	0.000000900	0.002174651	0.000640081
3	0x5e6832	222	3	1	98	0.000011640	0.000002190	0.000106670	0.000002330	3912	0.000296611	0.000000890	0.004107254	0.000006510	1339	0.000102990	0.000000640	0.001409840	0.000007860
1	0x5de640	1887	1	1	1	0.000005420	0.000005420	0.000000100	0.000000100	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e4722	324	2	8	5	0.000001020	0.000000460	0.000001340	0.000000610	130	0.000034280	0.000001090	0.000020890	0.000001140	45	0.000011890	0.000000900	0.000005800	0.000000590
3	0x62abd9	128316	1	-1	1	0.000000260	0.000000260	0.000333380	0.000333380	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
4	0x5e37df	1	-1	-1	1120	0.004763605	0.004642324	0.004754295	0.000399640	25883	0.002109813	0.000008950	0.157638432	0.022230211	9496	0.000783689	0.000000790	0.060600849	0.010417060
4	0x5e565b	1	-1	-1	1120	0.000148630	0.000033540	0.006907736	0.002879903	25883	0.002447910	0.000006880	0.038439735	0.000800051	9496	0.000876400	0.000008360	0.015759682	0.000726241
1	0x5de640	14805	1	1	1	0.000000660	0.000000660	0.000000200	0.000000200	8	0.000004220	0.000000850	0.000002190	0.000000510	4	0.000001830	0.000000580	0.000001000	0.000000380
4	0x649557	1	-1	-1	2	0.000339020	0.000217220	0.000000390	0.000000210	51	0.005603270	0.000219491	0.000008140	0.000000460	20	0.002573542	0.000221280	0.000004450	0.000000520
1	0x62806d	187272	2	8	2	0.000022150	0.000021280	0.000001630	0.000001370	43	0.000056060	0.000009800	0.000027960	0.000001160	15	0.000012450	0.000001420	0.000010080	0.000001050
3	0x5db855	1836	2	-8	1	0.000000100	0.000000100	0.002806893	0.002806893	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5d795f	10710	4	-8	1	0.000036220	0.000036220	0.000000350	0.000000350	8	0.000274800	0.000037360	0.000038930	0.000009630	4	0.000144780	0.000038690	0.000018550	0.000009570
1	0x5de640	7770	1	1	1	0.000000470	0.000000470	0.000000180	0.000000180	44	0.000021880	0.000001000	0.000011080	0.000000530	15	0.000006700	0.000000790	0.000005010	0.000000520
3	0x5de5fa	3885	1	-1	17	0.000005220	0.000000960	0.000492851	0.000202160	217	0.000062661	0.000001350	0.005068002	0.000703241	78	0.000023800	0.000000880	0.001695450	0.000134540
3	0x5e46a2	222	4	8	85	0.000012130	0.000000480	0.000066961	0.000001070	3740	0.000484460	0.000006120	0.002945062	0.000008350	1275	0.000154000	0.000000720	0.000987510	0.000001490
1	0x5dfbdb	444	3	-1	98	0.006981056	0.004946075	0.000017630	0.000002960	3871	0.165325756	0.004800954	0.000621689	0.000005380	1320	0.056663056	0.002971643	0.000207360	0.000003390
3	0x62ab93	192474	3	1	2	0.000002490	0.000002170	0.000966271	0.000492190	43	0.000021150	0.000002880	0.020342809	0.000919950	15	0.000005480	0.000000590	0.006700921	0.000472171
1	0x5e4722	612	2	8	96	0.000009930	0.000001810	0.000011070	0.000000870	712	0.000054350	0.000001250	0.000068050	0.000000960	356	0.000026820	0.000000560	0.000031760	0.000000690
3	0x5de5b4	9588	3	1	9	0.000006250	0.000003060	0.001305991	0.000440541	56	0.000022510	0.000001640	0.002267222	0.000714661	28	0.000009230	0.000000860	0.000835821	0.000082570
3	0x5e46a2	432	4	8	98	0.000010270	0.000002050	0.000157700	0.000004580	3871	0.000277882	0.000000940	0.005764475	0.000009220	1320	0.000093490	0.000000830	0.001966902	0.000008870
3	0x5e46e2	612	2	-8	96	0.000008530	0.000001610	0.000060190	0.000002610	712	0.000051470	0.000001030	0.000418510	0.000005270	356	0.000025200	0.000000570	0.000208180	0.000005440
1	0x5e68b2	333	1	1	5	0.000000700	0.000000240	0.000000540	0.000000180	130	0.000038820	0.000006070	0.000018520	0.000000990	45	0.000011470	0.000000830	0.000007210	0.000001130
3	0x5e6875	564	1	-1	96	0.000011640	0.000003270	0.000160040	0.000009820	712	0.000052790	0.000001100	0.000679641	0.000010840	356	0.000026210	0.000001010	0.000314220	0.000003000
6	0x56074e	13608	-1	-1	12	0.001477083	0.000700451	0.009034337	0.000900511	48	0.001927850	0.000078620	0.011081801	0.000932631	24	0.000870500	0.000053110	0.004035144	0.000342730
3	0x5db855	5202	2	-8	1	0.000007310	0.000007310	0.000014490	0.000014490	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5dfbdb	111	3	-1	290	0.092463906	0.053973721	0.000040890	0.000001490	10230	0.209468375	0.020520519	0.001272501	0.000007320	3517	0.097221285	0.020403839	0.000444441	0.000008051
1	0x5db89e	14688	2	8	4	0.000000800	0.000000250	0.000001600	0.000000720	87	0.000020060	0.000000610	0.000039150	0.000001210	30	0.000006800	0.000000500	0.000015360	0.000001460
3	0x5de5b4	4935	3	1	14	0.000011500	0.000004620	0.003323644	0.002111312	48	0.000017950	0.000001280	0.001475020	0.000207360	24	0.000007800	0.000000550	0.000525251	0.000148581
4	0x6280fb	1	-1	-1	11	0.004315234	0.001450771	0.000004930	0.000001410	220	0.049427696	0.000836750	0.000044990	0.000000940	86	0.018487083	0.000713780	0.000019810	0.000000750
6	0x55fc42	156604	-1	-1	1	0.000044100	0.000044100	0.003642813	0.003642813	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x627fc6	187272	4	8	2	0.000002080	0.000001200	0.001159582	0.000750191	43	0.000044120	0.000002470	0.020548032	0.002051332	15	0.000011980	0.000001190	0.007132068	0.000907061
3	0x627fc6	62424	4	8	2	0.000005640	0.000005200	0.000543140	0.000405780	43	0.000029100	0.000001780	0.012998073	0.002827763	15	0.000008260	0.000000880	0.002661932	0.000677091
3	0x5db80c	11340	4	8	1	0.000000400	0.000000400	0.000022900	0.000022900	43	0.000015030	0.000000960	0.002521742	0.000532880	16	0.000005090	0.000000570	0.004749246	0.001892022
6	0x560e5b	2256	-1	-1	2	0.000004190	0.000004070	0.000696651	0.000593461	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
