#rank=53	host=i17r2n11	pid=3786	events=456054	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
1	0x5e4722	108	2	8	290	0.000020930	0.000001980	0.000050260	0.000007170	10230	0.000643311	0.000006620	0.001516381	0.000008460	3517	0.000217131	0.000000570	0.000537640	0.000007010
1	0x5d4bb5	14805	3	-1	1	0.026324948	0.026324948	0.000003200	0.000003200	8	0.135360735	0.017229295	0.000024650	0.000003890	4	0.068416247	0.017856865	0.000012250	0.000004180
3	0x5e46a2	216	4	8	98	0.000017500	0.000001980	0.000085840	0.000006570	3912	0.000513090	0.000008300	0.003094017	0.000008120	1339	0.000148260	0.000000770	0.001074223	0.000009600
1	0x62420d	176868	4	-8	1	0.002592434	0.002592434	0.000003400	0.000003400	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x62ac22	192474	1	1	2	0.000040240	0.000039630	0.000000890	0.000000510	43	0.000049520	0.000010560	0.000017550	0.000000840	15	0.000012990	0.000001560	0.000007710	0.000000890
1	0x6481e0	71910	3	-1	1	0.000944081	0.000944081	0.000003080	0.000003080	8	0.008439693	0.001200852	0.000011930	0.000002010	4	0.004548558	0.001167182	0.000005690	0.000001550
1	0x5e1aea	312	4	-8	85	0.000049891	0.000002220	0.000010130	0.000000650	680	0.000394450	0.000002610	0.000074420	0.000001130	340	0.000203100	0.000002920	0.000038840	0.000000590
1	0x5e68b2	564	1	1	96	0.000008410	0.000000810	0.000008540	0.000000310	712	0.000056210	0.000000860	0.000077880	0.000001840	356	0.000028560	0.000000620	0.000040660	0.000001460
6	0x55fc42	463624	-1	-1	1	0.003139385	0.003139385	0.009302403	0.009302403	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e1aea	108	4	-8	290	0.000075840	0.000002070	0.000041240	0.000000790	10230	0.002499494	0.000009800	0.001060352	0.000001140	3517	0.000846430	0.000002620	0.000367351	0.000001590
1	0x62806d	7344	2	8	1	0.000000380	0.000000380	0.000000700	0.000000700	43	0.000022690	0.000002390	0.000030240	0.000001290	16	0.000007010	0.000000690	0.000011670	0.000001180
1	0x62ac22	7548	1	1	1	0.000000920	0.000000920	0.000000430	0.000000430	43	0.000035870	0.000006640	0.000015880	0.000000950	16	0.000012900	0.000001520	0.000006480	0.000000650
3	0x5e46a2	312	4	8	85	0.000006470	0.000001150	0.000091510	0.000004440	680	0.000054180	0.000008410	0.000573292	0.000005030	340	0.000023080	0.000000340	0.000286540	0.000001180
3	0x5de5b4	14805	3	1	1	0.000000520	0.000000520	0.000240001	0.000240001	8	0.000003280	0.000000640	0.000644440	0.000404060	4	0.000001890	0.000000520	0.000283730	0.000122170
3	0x62abd9	162996	1	-1	1	0.000000670	0.000000670	0.000411231	0.000411231	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5e6875	111	1	-1	290	0.000020960	0.000002330	0.000207441	0.000004500	10230	0.000612141	0.000008800	0.004985935	0.000010440	3517	0.000207581	0.000001220	0.001735252	0.000010430
3	0x628017	7560	2	-8	1	0.000002840	0.000002840	0.000020590	0.000020590	43	0.000014980	0.000001100	0.015260354	0.008549923	16	0.000004530	0.000000570	0.003145885	0.001741142
4	0x5dce3c	1	-1	-1	66	0.000188960	0.000145870	0.000748480	0.000228570	692	0.000249000	0.000002280	0.040444274	0.006905450	266	0.000091850	0.000001750	0.005890127	0.000563191
3	0x62abd9	64158	1	-1	2	0.000027360	0.000026910	0.000304021	0.000154021	43	0.000023120	0.000002010	0.012025354	0.001961232	15	0.000009130	0.000001050	0.004456746	0.000792781
1	0x5dfbdb	282	3	-1	94	0.025279897	0.007852071	0.000021690	0.000002390	712	0.072341004	0.000329231	0.000126490	0.000001380	356	0.036037575	0.000181201	0.000063170	0.000001550
1	0x62ac22	128316	1	1	1	0.000000490	0.000000490	0.000000320	0.000000320	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10710	4	8	1	0.000000380	0.000000380	0.000024840	0.000024840	8	0.000003920	0.000001810	0.000170410	0.000024230	4	0.000002180	0.000001150	0.000084190	0.000022660
1	0x62420d	10404	4	-8	1	0.000067740	0.000067740	0.000000670	0.000000670	8	0.000607430	0.000094050	0.000015300	0.000011570	4	0.000316940	0.000086140	0.000001960	0.000000830
3	0x5de5b4	3885	3	1	17	0.000011160	0.000006240	0.000417370	0.000086720	217	0.000053470	0.000001610	0.003614849	0.000788251	78	0.000018931	0.000000890	0.000998624	0.000022440
3	0x5e6832	228	3	1	85	0.000007510	0.000002070	0.000091000	0.000001550	3740	0.000258071	0.000001140	0.004053772	0.000009150	1275	0.000087930	0.000000600	0.001372891	0.000007940
6	0x560ac0	2254	-1	-1	0	0.000000000	0.000000000	0.000000000	0.000000000	8	0.000149081	0.000031530	0.002763513	0.000495891	4	0.000067960	0.000022230	0.000618921	0.000174051
1	0x621701	7770	3	-1	1	0.000076360	0.000076360	0.000000450	0.000000450	43	0.003146563	0.000115870	0.000018700	0.000000930	16	0.001109231	0.000077350	0.000004530	0.000000460
3	0x64a1c4	55080	2	-8	1	0.000000500	0.000000500	0.000108630	0.000108630	43	0.000017010	0.000001470	0.011353370	0.001574963	16	0.000005940	0.000000620	0.003295374	0.000283480
1	0x5d4bb5	11655	3	-1	1	0.008705323	0.008705323	0.000002510	0.000002510	43	0.396452675	0.015480652	0.000121801	0.000017970	16	0.137854508	0.008650642	0.000043820	0.000004230
1	0x62806d	7560	2	8	1	0.000000290	0.000000290	0.000000090	0.000000090	43	0.000023440	0.000008140	0.000007440	0.000000690	16	0.000004930	0.000000460	0.000004930	0.000001310
3	0x5e6875	444	1	-1	98	0.000010030	0.000001580	0.000112890	0.000005330	3871	0.000270591	0.000000950	0.003505224	0.000016540	1320	0.000091330	0.000000900	0.001221840	0.000009090
3	0x62ab93	81498	3	1	1	0.000009890	0.000009890	0.000220210	0.000220210	32	0.000018890	0.000002040	0.006477753	0.001372172	16	0.000011170	0.000002880	0.002602706	0.000194650
1	0x621701	9588	3	-1	1	0.009101233	0.009101233	0.000012430	0.000012430	8	0.063425150	0.008208322	0.000057430	0.000009700	4	0.031910625	0.008045581	0.000025140	0.000008030
1	0x5dfbdb	288	3	-1	85	0.000916091	0.000388870	0.000011570	0.000000530	680	0.004428148	0.000038040	0.000088880	0.000000670	340	0.002194147	0.000037500	0.000044210	0.000000510
3	0x5db80c	2601	4	8	1	0.000000180	0.000000180	0.000160010	0.000160010	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x621701	162996	3	-1	1	0.008461652	0.008461652	0.000001590	0.000001590	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	3672	4	8	1	0.000000180	0.000000180	0.000008320	0.000008320	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5de5b4	1887	3	1	1	0.000002350	0.000002350	0.000003450	0.000003450	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x5db80c	10404	4	8	9	0.000007640	0.000003180	0.000253550	0.000093140	56	0.000018260	0.000000790	0.003740294	0.000925771	28	0.000009390	0.000000580	0.000722980	0.000171280
3	0x5e6832	222	3	1	98	0.000010890	0.000002040	0.000105671	0.000001710	3912	0.000291130	0.000000930	0.004220716	0.000009150	1339	0.000100831	0.000000550	0.001454551	0.000008670
1	0x5de640	1887	1	1	1	0.000002680	0.000002680	0.000000130	0.000000130	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5e4722	324	2	8	5	0.000000910	0.000000350	0.000001740	0.000000550	130	0.000038990	0.000001710	0.000034780	0.000000780	45	0.000012070	0.000000900	0.000012150	0.000000760
3	0x62abd9	128316	1	-1	1	0.000000740	0.000000740	0.000326321	0.000326321	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
4	0x5e37df	1	-1	-1	1120	0.000449591	0.000334811	0.006464089	0.000926482	25883	0.002177213	0.000011440	0.280551939	0.024578505	9496	0.000788831	0.000001120	0.090051294	0.012640569
4	0x5e565b	1	-1	-1	1120	0.000425211	0.000310061	0.003047532	0.000129690	25883	0.002425335	0.000001430	0.076955726	0.002424653	9496	0.000881550	0.000001100	0.029505872	0.001385672
1	0x5de640	14805	1	1	1	0.000000570	0.000000570	0.000000190	0.000000190	8	0.000004330	0.000000730	0.000002150	0.000000360	4	0.000001790	0.000000580	0.000001050	0.000000400
4	0x649557	1	-1	-1	2	0.000223530	0.000144380	0.000000420	0.000000250	51	0.005297059	0.000200140	0.000010510	0.000000760	20	0.002197743	0.000191850	0.000004060	0.000000430
1	0x62806d	187272	2	8	2	0.000031360	0.000030530	0.000000800	0.000000420	43	0.000061800	0.000013080	0.000018180	0.000000750	15	0.000016120	0.000002470	0.000005420	0.000000540
3	0x5db855	1836	2	-8	1	0.000000090	0.000000090	0.001798862	0.001798862	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5d795f	10710	4	-8	1	0.000038100	0.000038100	0.000077040	0.000077040	8	0.000305950	0.000057430	0.000013100	0.000009570	4	0.000163340	0.000048900	0.000002030	0.000000550
1	0x5de640	7770	1	1	1	0.000000650	0.000000650	0.000000270	0.000000270	44	0.000021250	0.000000970	0.000009870	0.000000470	15	0.000007890	0.000000880	0.000003750	0.000000550
3	0x5de5fa	3885	1	-1	17	0.000005010	0.000000890	0.000583861	0.000182530	217	0.000060990	0.000001220	0.006432946	0.000449571	78	0.000022050	0.000000720	0.002295482	0.000381591
3	0x5e46a2	222	4	8	85	0.000012700	0.000000410	0.000063870	0.000001190	3740	0.000465780	0.000000480	0.002825952	0.000008880	1275	0.000127631	0.000000480	0.000976731	0.000008490
1	0x5dfbdb	444	3	-1	98	0.006449748	0.004462436	0.000017340	0.000003230	3871	0.165136470	0.004656047	0.000578089	0.000002690	1320	0.056113980	0.002860294	0.000196261	0.000002400
3	0x62ab93	192474	3	1	2	0.000004580	0.000003810	0.000944781	0.000498570	43	0.000037700	0.000004480	0.019608148	0.000700631	15	0.000009240	0.000001010	0.006696290	0.000561341
1	0x5e4722	612	2	8	96	0.000012490	0.000004050	0.000017900	0.000001400	712	0.000054510	0.000000890	0.000099870	0.000001630	356	0.000028140	0.000001020	0.000049520	0.000001250
3	0x5de5b4	9588	3	1	9	0.000005850	0.000002630	0.000372560	0.000103220	56	0.000022940	0.000001260	0.002807973	0.000843981	28	0.000010400	0.000001690	0.001666714	0.000750461
3	0x5e46a2	432	4	8	98	0.000010960	0.000002620	0.000155050	0.000005980	3871	0.000288510	0.000009640	0.005759797	0.000011650	1320	0.000095620	0.000000640	0.001930203	0.000002930
3	0x5e46e2	612	2	-8	96	0.000009150	0.000001780	0.000058260	0.000002850	712	0.000056780	0.000005340	0.000405982	0.000002320	356	0.000026340	0.000001420	0.000199840	0.000001590
1	0x5e68b2	333	1	1	5	0.000000860	0.000000250	0.000001760	0.000000820	130	0.000031940	0.000001240	0.000020600	0.000000790	45	0.000010590	0.000000690	0.000007080	0.000000850
3	0x5e6875	564	1	-1	96	0.000012110	0.000002930	0.000166771	0.000014580	712	0.000052400	0.000001110	0.000600021	0.000008860	356	0.000026681	0.000000980	0.000290960	0.000002550
6	0x56074e	13608	-1	-1	12	0.001345742	0.000660131	0.009447194	0.000948201	48	0.001820902	0.000069250	0.011438447	0.000924671	24	0.001026592	0.000073740	0.004135085	0.000344890
3	0x5db855	5202	2	-8	1	0.000001720	0.000001720	0.000097130	0.000097130	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5dfbdb	111	3	-1	290	0.092309513	0.053963348	0.000040050	0.000001620	10230	0.182103529	0.017420945	0.001271703	0.000010410	3517	0.085739136	0.017916825	0.000434191	0.000007420
1	0x5db89e	14688	2	8	4	0.000000730	0.000000320	0.000003080	0.000001100	87	0.000018560	0.000000610	0.000074531	0.000001690	30	0.000007090	0.000000560	0.000023960	0.000001100
3	0x5de5b4	4935	3	1	14	0.000009980	0.000003800	0.001369133	0.000531191	48	0.000018310	0.000001450	0.000868931	0.000149550	24	0.000008790	0.000001720	0.000476490	0.000092070
4	0x6280fb	1	-1	-1	11	0.004758667	0.001288102	0.000007240	0.000002230	220	0.065625672	0.001300582	0.000098160	0.000002860	86	0.023879970	0.001131161	0.000041470	0.000002600
6	0x55fc42	156604	-1	-1	1	0.000045060	0.000045060	0.003710935	0.003710935	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
