#rank=16	host=i17r2n09	pid=6584	events=343099	overflow=0	block_seconds=6.000000
op	caller	count	tag	peer_class	b0_calls	b0_gap_sum	b0_gap_max	b0_mpi_sum	b0_mpi_max	b1_calls	b1_gap_sum	b1_gap_max	b1_mpi_sum	b1_mpi_max	b2_calls	b2_gap_sum	b2_gap_max	b2_mpi_sum	b2_mpi_max
3	0x5e46a2	147	4	8	268	0.000040800	0.000004570	0.000294360	0.000008780	1888	0.000262360	0.000000610	0.001229991	0.000002030	944	0.000135460	0.000000510	0.000615720	0.000002280
1	0x62ac22	192474	1	1	2	0.008387428	0.004372224	0.000003810	0.000002730	43	0.172489491	0.004438904	0.000061530	0.000008110	15	0.059770070	0.004050754	0.000016690	0.000001660
1	0x5e4722	588	2	8	96	0.000010530	0.000002370	0.000018090	0.000002800	712	0.000055990	0.000001100	0.000071950	0.000001330	356	0.000028410	0.000001510	0.000033790	0.000000930
1	0x5e1aea	312	4	-8	85	0.000049110	0.000002030	0.000010890	0.000000540	680	0.000396061	0.000002540	0.000090580	0.000001160	340	0.000205030	0.000008040	0.000047950	0.000000870
1	0x5e68b2	564	1	1	96	0.971457165	0.966102841	0.000019340	0.000002360	712	0.013741321	0.000047160	0.000107630	0.000000520	356	0.006854749	0.000047710	0.000052560	0.000000320
6	0x55fc42	463624	-1	-1	1	0.002782653	0.002782653	0.009632169	0.009632169	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
1	0x5db89e	3570	2	8	1	0.000002750	0.000002750	0.000000120	0.000000120	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
3	0x628017	7350	2	-8	1	0.000000360	0.000000360	0.000014860	0.000014860	43	0.000011720	0.000000560	0.001150960	0.000058820	16	0.000006090	0.000000670	0.000428930	0.000051760
1	0x62ac22	7548	1	1	1	0.004201244	0.004201244	0.000002940	0.000002940	43	0.179831311	0.004372184	0.000168900	0.000019140	16	0.067428305	0.004375034	0.000052480	0.000005750
3	0x5e46a2	312	4	8	85	0.000007960	0.000002000	0.000072340	0.000003350	680	0.000048010	0.000000870	0.000545951	0.000002090	340	0.000024260	0.000000860	0.000273310	0.000001290
3	0x5de5b4	14805	3	1	1	0.000021360	0.000021360	0.000925530	0.000925530	8	0.000005090	0.000000850	0.000925291	0.000195900	4	0.000002550	0.000001060	0.002666832	0.002283562
1	0x62e7c0	16864	712	20	2	0.002524052	0.001544651	0.000002480	0.000001470	8	0.006541847	0.000972831	0.000010830	0.000003250	4	0.002987094	0.000949571	0.000003560	0.000001300
3	0x5e46e2	105	2	-8	290	0.000022190	0.000003730	0.000101660	0.000001180	10230	0.000597141	0.000005250	0.003688792	0.000010000	3517	0.000204320	0.000000540	0.001143471	0.000012000
1	0x5e4722	420	2	8	98	0.000008800	0.000000970	0.000012540	0.000001940	3871	0.000292490	0.000001240	0.000374510	0.000001640	1320	0.000098900	0.000000500	0.000130120	0.000001810
3	0x5db80c	7140	4	8	12	0.000007310	0.000003320	0.000650491	0.000228280	173	0.000048270	0.000002080	0.003510003	0.000340770	63	0.000015740	0.000000940	0.001402133	0.000363290
3	0x5db80c	1785	4	8	1	0.000003660	0.000003660	0.000003840	0.000003840	0	0.000000000	0.000000000	0.000000000	0.000000000	0	0.000000000	0.000000000	0.000000000	0.000000000
