label	variant	real_seconds	rc	done	trajectory_sha	log_sha	nc_count
A1	O33	132.956	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	dd5f2ea82ba49bfc156c1531e93f01b3b1fe61803119d509e9d866f60b75d1c9	0
B1	O33_PMNREUSE	132.446	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	234e56b5b0578f66dff34c7c60d6f943f9194e28d3e40d02b8c1e61198f14315	0
B2	O33_PMNREUSE	132.174	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	6dd4ad2e90fbb783ea42c5a627b4d5f867fdcafe25e6e7fc71db24b6a3fb297f	0
A2	O33	126.991	0	yes	fa498694109f9a578ca07133f55d8e58961dde55666ca5347707d86eb40e44b0	5903457f26d17f742d66ddc414006115e560589a623cb27157d99628d410a300	0
