"File","Subroutine","FromLine","ToLine","FromRoutine","ToRoutine","FromNvar","ToNvar","InterveningStatements","HasCall","HasAssignment","Preview"
"get_grid.f90","get_grid","252","286","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('mask_rho') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % rmask) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","286","320","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('mask_u') || gtype=u2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % umask, GRID(ng) % umask) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","320","354","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('mask_v') || gtype=v2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % vmask, GRID(ng) % vmask) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","354","381","mp_exchange2d","mp_exchange2d","1","1","11","True","True","CASE ('mask_psi') || gtype=p2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % pmask, GRID(ng) % pmask) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","381","409","mp_exchange2d","mp_exchange2d","1","1","12","True","True","CASE ('visc_factor') || IF (LuvSponge(ng)) THEN || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, MIXING(ng) % visc_factor) || IF (status.ne.nf90_noerr) THEN || exit_flag=2"
"get_grid.f90","get_grid","409","438","mp_exchange2d","mp_exchange2d","1","1","13","True","True","END IF || CASE ('diff_factor') || IF (ANY(LtracerSponge(:,ng))) THEN || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, MIXING(ng) % diff_factor) || IF (status.ne.nf90_noerr) THEN"
"get_grid.f90","get_grid","438","473","mp_exchange2d","mp_exchange2d","1","1","14","True","True","END IF || CASE ('f') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % f) || IF (status.ne.nf90_noerr) THEN || exit_flag=2"
"get_grid.f90","get_grid","473","508","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('pm') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % pm) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","508","543","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('pn') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % pn) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
"get_grid.f90","get_grid","543","577","mp_exchange2d","mp_exchange2d","1","1","13","True","True","CASE ('dmde') || gtype=r2dvar || status=nf_fread2d(ng, model, ncname, GRD(ng)%ncid, var_name(i), var_id(i), 0, gtype, Vsize, LBi, UBi, LBj, UBj, Fscl, Fmin, Fmax, GRID(ng) % rmask, GRID(ng) % dmde) || IF (status.ne.nf90_noerr) THEN || exit_flag=2 || ioerror=status"
