rank	54
elapsed	126.243601976
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002623640
MPI_Bcast	64	8	4	-1	427	0.706206433
MPI_Bcast	64	12	4	-1	1200	1.449715157
MPI_Bcast	64	4	4	-1	672	2.311300535
MPI_Allreduce	64	8	8	3	491	0.014862698
MPI_Bcast	64	16	4	-1	228	0.000202511
MPI_Bcast	64	20	4	-1	289	0.000318360
MPI_Allreduce	64	313208	4	3	1	0.004055154
MPI_Bcast	64	2000	1	-1	289	0.001569705
MPI_Bcast	16	15855440	8	-1	1	0.049420877
MPI_Bcast	64	464464	8	-1	5	0.003082093
MPI_Bcast	16	14208976	8	-1	6	0.435414826
MPI_Bcast	64	468328	8	-1	23	0.012843392
MPI_Bcast	64	947280	8	-1	23	0.015759563
MPI_Bcast	64	136208	8	-1	10	0.003247774
MPI_Allreduce	64	2454528	8	3	1	0.005891406
MPI_Allreduce	64	463624	4	3	1	0.003954474
MPI_Allreduce	64	1226176	8	3	1	0.003442693
MPI_Bcast	16	16390936	8	-1	3	0.515307011
MPI_Allreduce	64	8	8	1	76	0.000845749
MPI_Allreduce	64	18048	8	3	146	0.019203202
MPI_Bcast	64	200	1	-1	165	0.000352709
MPI_Bcast	64	400	8	-1	165	0.000747529
MPI_Bcast	64	44	1	-1	1	0.001575891
MPI_Bcast	64	18000	4	-1	228	0.009086906
MPI_Allreduce	64	18032	8	3	146	0.023144572
MPI_Allreduce	64	18424	8	3	144	0.225095146
MPI_Bcast	64	160	8	-1	335	0.040787708
MPI_Allreduce	64	8	8	2	14	0.000610861
MPI_Bcast	64	544832	8	-1	1	0.002246232
MPI_Bcast	16	15858160	8	-1	1	0.338432473
MPI_Bcast	64	96	8	-1	35	0.000065070
MPI_Bcast	64	120	8	-1	8	0.000032639
MPI_Bcast	64	8	8	-1	180	0.000184828
MPI_Bcast	64	256	1	-1	1	0.000123580
MPI_Bcast	64	98192	8	-1	56	0.019506746
MPI_Allreduce	64	462672	4	3	2	0.006511636
MPI_Allreduce	64	3708992	8	3	1	0.007179227
MPI_Bcast	64	941776	8	-1	5	0.003057424
MPI_Allreduce	64	306816	4	3	1	0.001487271
MPI_Bcast	64	466432	8	-1	8	0.003124713
MPI_Allreduce	64	108864	8	3	876	0.157433002
MPI_Allreduce	64	3701376	8	3	2	0.013594863
MPI_Bcast	64	36000	1	-1	228	0.013579542
MPI_Bcast	64	89488	8	-1	34	0.005863027
MPI_Bcast	64	11688	8	-1	4	0.000112730
MPI_Bcast	16	32117776	8	-1	1	0.106226821
MPI_Allreduce	64	613088	8	3	144	0.091274705
MPI_Bcast	64	466352	8	-1	8	0.003173221
MPI_Bcast	64	68104	4	-1	6	0.001567330
MPI_Allreduce	64	1227264	8	3	1	0.003411603
MPI_Allreduce	64	306544	4	3	1	0.002076492
MPI_Bcast	16	33154256	8	-1	3	1.422633906
MPI_Allreduce	64	109088	8	3	292	0.284200467
MPI_Allreduce	64	27216	8	3	4	0.002688092
MPI_Allreduce	64	2632	8	3	580	0.065786739
MPI_Allreduce	64	112	16	11	27	0.000495280
MPI_Allreduce	64	2452352	8	3	1	0.005538985
MPI_Allreduce	64	2505664	8	3	1	0.011325421
MPI_Bcast	16	15922624	8	-1	17	0.405968077
MPI_Allreduce	64	2888	8	3	1160	0.031629744
MPI_Allreduce	64	134368	8	3	720	2.449060389
MPI_Bcast	64	2888	8	-1	12	0.000146550
MPI_Bcast	64	2920	8	-1	29	0.000346280
MPI_Allreduce	64	1854496	8	3	1	0.005461665
MPI_Allreduce	64	1252832	8	3	1	0.003649253
MPI_Bcast	64	2632	8	-1	6	0.000079360
MPI_Allreduce	64	613632	8	3	144	0.085878076
MPI_Allreduce	64	187680	8	3	145	0.586012508
MPI_Allreduce	64	1850688	8	3	2	0.009862040
MPI_Bcast	64	944656	8	-1	8	0.005537176
MPI_Allreduce	64	626416	8	3	2448	1.479415477
MPI_Bcast	64	3600	4	-1	1140	0.049954869
MPI_Bcast	64	944392	8	-1	8	0.005108764
MPI_Bcast	16	32206992	8	-1	17	0.773623675
MPI_Bcast	64	2048	1	-1	1	0.000023170
MPI_Bcast	64	51200	1	-1	165	0.013427822
MPI_Bcast	16	32108800	8	-1	1	1.162892759
