rank	49
elapsed	126.241605783
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002404052
MPI_Bcast	64	8	4	-1	427	0.706623969
MPI_Bcast	64	12	4	-1	1200	1.463837279
MPI_Bcast	64	4	4	-1	672	2.690296785
MPI_Allreduce	64	8	8	3	491	0.020354145
MPI_Bcast	64	16	4	-1	228	0.000397120
MPI_Bcast	64	20	4	-1	289	0.000616805
MPI_Allreduce	64	313208	4	3	1	0.004204284
MPI_Bcast	64	2000	1	-1	289	0.002492254
MPI_Bcast	16	15855440	8	-1	1	0.048613557
MPI_Bcast	64	464464	8	-1	5	0.003093753
MPI_Bcast	16	14208976	8	-1	6	0.403810354
MPI_Bcast	64	468328	8	-1	23	0.013119809
MPI_Bcast	64	947280	8	-1	23	0.015776173
MPI_Bcast	64	136208	8	-1	10	0.003491433
MPI_Allreduce	64	2454528	8	3	1	0.006293986
MPI_Allreduce	64	463624	4	3	1	0.004029294
MPI_Allreduce	64	1226176	8	3	1	0.003322323
MPI_Bcast	16	16390936	8	-1	3	0.500155107
MPI_Allreduce	64	8	8	1	76	0.000839639
MPI_Allreduce	64	18048	8	3	146	0.018853755
MPI_Bcast	64	200	1	-1	165	0.000616011
MPI_Bcast	64	400	8	-1	165	0.001181570
MPI_Bcast	64	44	1	-1	1	0.001416501
MPI_Bcast	64	18000	4	-1	228	0.009576091
MPI_Allreduce	64	18032	8	3	146	0.022689183
MPI_Allreduce	64	18424	8	3	144	0.270783225
MPI_Bcast	64	160	8	-1	335	0.038150895
MPI_Allreduce	64	8	8	2	14	0.001456551
MPI_Bcast	64	544832	8	-1	1	0.002110852
MPI_Bcast	16	15858160	8	-1	1	0.331374566
MPI_Bcast	64	96	8	-1	35	0.000111628
MPI_Bcast	64	120	8	-1	8	0.000045690
MPI_Bcast	64	8	8	-1	180	0.000370169
MPI_Bcast	64	256	1	-1	1	0.000169240
MPI_Bcast	64	98192	8	-1	56	0.020815675
MPI_Allreduce	64	462672	4	3	2	0.006470906
MPI_Allreduce	64	3708992	8	3	1	0.006811397
MPI_Bcast	64	941776	8	-1	5	0.002961444
MPI_Allreduce	64	306816	4	3	1	0.001464431
MPI_Bcast	64	466432	8	-1	8	0.002986673
MPI_Allreduce	64	108864	8	3	876	0.159070101
MPI_Allreduce	64	3701376	8	3	2	0.013555082
MPI_Bcast	64	36000	1	-1	228	0.018230664
MPI_Bcast	64	89488	8	-1	34	0.005953027
MPI_Bcast	64	11688	8	-1	4	0.000128000
MPI_Bcast	16	32117776	8	-1	1	0.104872220
MPI_Allreduce	64	613088	8	3	144	0.090267479
MPI_Bcast	64	466352	8	-1	8	0.003140281
MPI_Bcast	64	68104	4	-1	6	0.001643990
MPI_Allreduce	64	1227264	8	3	1	0.003428754
MPI_Allreduce	64	306544	4	3	1	0.002220472
MPI_Bcast	16	33154256	8	-1	3	1.396775202
MPI_Allreduce	64	109088	8	3	292	0.266586302
MPI_Allreduce	64	27216	8	3	4	0.002520662
MPI_Allreduce	64	2632	8	3	580	0.069959701
MPI_Allreduce	64	112	16	11	27	0.000517009
MPI_Allreduce	64	2452352	8	3	1	0.005748045
MPI_Allreduce	64	2505664	8	3	1	0.010773570
MPI_Bcast	16	15922624	8	-1	17	0.285529692
MPI_Allreduce	64	2888	8	3	1160	0.033049162
MPI_Allreduce	64	134368	8	3	720	2.274328391
MPI_Bcast	64	2888	8	-1	12	0.000184740
MPI_Bcast	64	2920	8	-1	29	0.000454331
MPI_Allreduce	64	1854496	8	3	1	0.005234015
MPI_Allreduce	64	1252832	8	3	1	0.003648993
MPI_Bcast	64	2632	8	-1	6	0.000097510
MPI_Allreduce	64	613632	8	3	144	0.085330743
MPI_Allreduce	64	187680	8	3	145	0.873932442
MPI_Allreduce	64	1850688	8	3	2	0.010084810
MPI_Bcast	64	944656	8	-1	8	0.005388345
MPI_Allreduce	64	626416	8	3	2448	1.493804266
MPI_Bcast	64	3600	4	-1	1140	0.057892503
MPI_Bcast	64	944392	8	-1	8	0.004995364
MPI_Bcast	16	32206992	8	-1	17	0.560984783
MPI_Bcast	64	2048	1	-1	1	0.000019080
MPI_Bcast	64	51200	1	-1	165	0.015413956
MPI_Bcast	16	32108800	8	-1	1	1.148592115
