rank	48
elapsed	126.231078293
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002966740
MPI_Bcast	64	8	4	-1	427	0.682315955
MPI_Bcast	64	12	4	-1	1200	1.456052016
MPI_Bcast	64	4	4	-1	672	2.716082873
MPI_Allreduce	64	8	8	3	491	0.022133456
MPI_Bcast	64	16	4	-1	228	0.000355412
MPI_Bcast	64	20	4	-1	289	0.000544360
MPI_Allreduce	64	313208	4	3	1	0.004310494
MPI_Bcast	64	2000	1	-1	289	0.002819902
MPI_Bcast	16	15855440	8	-1	1	0.021892960
MPI_Bcast	64	464464	8	-1	5	0.003098263
MPI_Bcast	16	14208976	8	-1	6	0.136676271
MPI_Bcast	64	468328	8	-1	23	0.013706900
MPI_Bcast	4	15855440	8	-1	1	0.026264455
MPI_Bcast	64	947280	8	-1	23	0.015344841
MPI_Bcast	4	14208976	8	-1	6	0.260636368
MPI_Bcast	64	136208	8	-1	10	0.005542414
MPI_Allreduce	64	2454528	8	3	1	0.006219286
MPI_Allreduce	64	463624	4	3	1	0.002828513
MPI_Allreduce	64	1226176	8	3	1	0.003329853
MPI_Bcast	16	16390936	8	-1	3	0.193764973
MPI_Allreduce	64	8	8	1	76	0.000859739
MPI_Bcast	4	15858160	8	-1	1	0.231122920
MPI_Allreduce	64	18048	8	3	146	0.018835213
MPI_Bcast	64	200	1	-1	165	0.000743222
MPI_Bcast	64	400	8	-1	165	0.000825750
MPI_Bcast	64	44	1	-1	1	0.001417401
MPI_Bcast	64	18000	4	-1	228	0.010079133
MPI_Allreduce	64	18032	8	3	146	0.020883810
MPI_Bcast	4	16390936	8	-1	3	0.303508510
MPI_Allreduce	64	18424	8	3	144	0.380308805
MPI_Bcast	64	160	8	-1	335	0.032508901
MPI_Allreduce	64	8	8	2	14	0.001577241
MPI_Bcast	64	544832	8	-1	1	0.002089452
MPI_Bcast	16	15858160	8	-1	1	0.098789114
MPI_Bcast	64	96	8	-1	35	0.000121641
MPI_Bcast	64	120	8	-1	8	0.000048490
MPI_Bcast	64	8	8	-1	180	0.000316711
MPI_Bcast	64	256	1	-1	1	0.000165610
MPI_Bcast	4	32117776	8	-1	1	0.055012202
MPI_Bcast	64	98192	8	-1	56	0.025035240
MPI_Allreduce	64	462672	4	3	2	0.004324154
MPI_Bcast	4	33154256	8	-1	3	0.932078768
MPI_Allreduce	64	3708992	8	3	1	0.007105297
MPI_Bcast	64	941776	8	-1	5	0.002940774
MPI_Allreduce	64	306816	4	3	1	0.001463931
MPI_Bcast	64	466432	8	-1	8	0.002960883
MPI_Allreduce	64	108864	8	3	876	0.158779723
MPI_Bcast	4	15922624	8	-1	17	0.162506877
MPI_Allreduce	64	3701376	8	3	2	0.012727992
MPI_Bcast	64	36000	1	-1	228	0.014608561
MPI_Bcast	64	89488	8	-1	34	0.006755947
MPI_Bcast	64	11688	8	-1	4	0.000112830
MPI_Bcast	16	32117776	8	-1	1	0.049684117
MPI_Allreduce	64	613088	8	3	144	0.092562353
MPI_Bcast	64	466352	8	-1	8	0.002971402
MPI_Bcast	64	68104	4	-1	6	0.003099800
MPI_Allreduce	64	1227264	8	3	1	0.003428794
MPI_Allreduce	64	306544	4	3	1	0.002215612
MPI_Bcast	16	33154256	8	-1	3	0.460174389
MPI_Allreduce	64	109088	8	3	292	0.338682252
MPI_Allreduce	64	27216	8	3	4	0.002640212
MPI_Allreduce	64	2632	8	3	580	0.075722785
MPI_Allreduce	64	112	16	11	27	0.000548550
MPI_Allreduce	64	2452352	8	3	1	0.005584375
MPI_Allreduce	64	2505664	8	3	1	0.010713050
MPI_Bcast	16	15922624	8	-1	17	0.099495994
MPI_Allreduce	64	2888	8	3	1160	0.032851702
MPI_Allreduce	64	134368	8	3	720	2.575041918
MPI_Bcast	4	32206992	8	-1	17	0.307208752
MPI_Bcast	64	2888	8	-1	12	0.000169220
MPI_Bcast	64	2920	8	-1	29	0.000404679
MPI_Allreduce	64	1854496	8	3	1	0.005241985
MPI_Bcast	4	32108800	8	-1	1	0.796006399
MPI_Allreduce	64	1252832	8	3	1	0.003650813
MPI_Bcast	64	2632	8	-1	6	0.000112930
MPI_Allreduce	64	613632	8	3	144	0.085398131
MPI_Allreduce	64	187680	8	3	145	0.906728023
MPI_Allreduce	64	1850688	8	3	2	0.010150130
MPI_Bcast	64	944656	8	-1	8	0.005477415
MPI_Allreduce	64	626416	8	3	2448	1.497125487
MPI_Bcast	64	3600	4	-1	1140	0.131244585
MPI_Bcast	64	944392	8	-1	8	0.004813154
MPI_Bcast	16	32206992	8	-1	17	0.210727403
MPI_Bcast	64	2048	1	-1	1	0.000013180
MPI_Bcast	64	51200	1	-1	165	0.016280825
MPI_Bcast	16	32108800	8	-1	1	0.351067024
