rank	5
elapsed	126.237344316
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002757752
MPI_Bcast	64	8	4	-1	427	0.679637790
MPI_Bcast	64	12	4	-1	1200	1.464957555
MPI_Bcast	64	4	4	-1	672	2.654757198
MPI_Allreduce	64	8	8	3	491	0.017706287
MPI_Bcast	64	16	4	-1	228	0.000275912
MPI_Bcast	64	20	4	-1	289	0.000405663
MPI_Allreduce	64	313208	4	3	1	0.004444233
MPI_Bcast	64	2000	1	-1	289	0.001171909
MPI_Bcast	16	15855440	8	-1	1	0.049569493
MPI_Bcast	64	464464	8	-1	5	0.000944970
MPI_Bcast	16	14208976	8	-1	6	0.411045125
MPI_Bcast	64	468328	8	-1	23	0.005964271
MPI_Bcast	64	947280	8	-1	23	0.010377413
MPI_Bcast	64	136208	8	-1	10	0.003202701
MPI_Allreduce	64	2454528	8	3	1	0.005722423
MPI_Allreduce	64	463624	4	3	1	0.003053662
MPI_Allreduce	64	1226176	8	3	1	0.003477082
MPI_Bcast	16	16390936	8	-1	3	0.514044485
MPI_Allreduce	64	8	8	1	76	0.000831469
MPI_Allreduce	64	18048	8	3	146	0.018678471
MPI_Bcast	64	200	1	-1	165	0.000370992
MPI_Bcast	64	400	8	-1	165	0.000824600
MPI_Bcast	64	44	1	-1	1	0.001799051
MPI_Bcast	64	18000	4	-1	228	0.006718313
MPI_Allreduce	64	18032	8	3	146	0.023664343
MPI_Allreduce	64	18424	8	3	144	0.256342341
MPI_Bcast	64	160	8	-1	335	0.009933295
MPI_Allreduce	64	8	8	2	14	0.001263691
MPI_Bcast	64	544832	8	-1	1	0.000616870
MPI_Bcast	16	15858160	8	-1	1	0.342030403
MPI_Bcast	64	96	8	-1	35	0.000069829
MPI_Bcast	64	120	8	-1	8	0.000026640
MPI_Bcast	64	8	8	-1	180	0.000249371
MPI_Bcast	64	256	1	-1	1	0.003063931
MPI_Bcast	64	98192	8	-1	56	0.019289195
MPI_Allreduce	64	462672	4	3	2	0.004561142
MPI_Allreduce	64	3708992	8	3	1	0.007318624
MPI_Bcast	64	941776	8	-1	5	0.002096892
MPI_Allreduce	64	306816	4	3	1	0.001632210
MPI_Bcast	64	466432	8	-1	8	0.001643760
MPI_Allreduce	64	108864	8	3	876	0.155331040
MPI_Allreduce	64	3701376	8	3	2	0.013568106
MPI_Bcast	64	36000	1	-1	228	0.019806280
MPI_Bcast	64	89488	8	-1	34	0.005756902
MPI_Bcast	64	11688	8	-1	4	0.000114940
MPI_Bcast	16	32117776	8	-1	1	0.106857300
MPI_Allreduce	64	613088	8	3	144	0.085867034
MPI_Bcast	64	466352	8	-1	8	0.001731451
MPI_Bcast	64	68104	4	-1	6	0.001673679
MPI_Allreduce	64	1227264	8	3	1	0.003149962
MPI_Allreduce	64	306544	4	3	1	0.002282961
MPI_Bcast	16	33154256	8	-1	3	1.392010303
MPI_Allreduce	64	109088	8	3	292	0.261464659
MPI_Allreduce	64	27216	8	3	4	0.002723481
MPI_Allreduce	64	2632	8	3	580	0.081262325
MPI_Allreduce	64	112	16	11	27	0.000536877
MPI_Allreduce	64	2452352	8	3	1	0.005428843
MPI_Allreduce	64	2505664	8	3	1	0.010779695
MPI_Bcast	16	15922624	8	-1	17	0.317910963
MPI_Allreduce	64	2888	8	3	1160	0.031245714
MPI_Allreduce	64	134368	8	3	720	2.292386361
MPI_Bcast	64	2888	8	-1	12	0.000128040
MPI_Bcast	64	2920	8	-1	29	0.000298150
MPI_Allreduce	64	1854496	8	3	1	0.005082372
MPI_Allreduce	64	1252832	8	3	1	0.003668631
MPI_Bcast	64	2632	8	-1	6	0.000064470
MPI_Allreduce	64	613632	8	3	144	0.086499306
MPI_Allreduce	64	187680	8	3	145	0.549657480
MPI_Allreduce	64	1850688	8	3	2	0.009628765
MPI_Bcast	64	944656	8	-1	8	0.003652611
MPI_Allreduce	64	626416	8	3	2448	1.497408167
MPI_Bcast	64	3600	4	-1	1140	0.016821362
MPI_Bcast	64	944392	8	-1	8	0.003577170
MPI_Bcast	16	32206992	8	-1	17	0.604203699
MPI_Bcast	64	2048	1	-1	1	0.000008060
MPI_Bcast	64	51200	1	-1	165	0.013012723
MPI_Bcast	16	32108800	8	-1	1	1.148814568
