rank	61
elapsed	126.235835688
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.003198044
MPI_Bcast	64	8	4	-1	427	0.679965578
MPI_Bcast	64	12	4	-1	1200	1.440053629
MPI_Bcast	64	4	4	-1	672	1.952280883
MPI_Allreduce	64	8	8	3	491	0.017210627
MPI_Bcast	64	16	4	-1	228	0.000625170
MPI_Bcast	64	20	4	-1	289	0.000812043
MPI_Allreduce	64	313208	4	3	1	0.003924194
MPI_Bcast	64	2000	1	-1	289	0.002186960
MPI_Bcast	16	15855440	8	-1	1	0.050738309
MPI_Bcast	64	464464	8	-1	5	0.003125133
MPI_Bcast	16	14208976	8	-1	6	0.478403926
MPI_Bcast	64	468328	8	-1	23	0.012781852
MPI_Bcast	64	947280	8	-1	23	0.015980224
MPI_Bcast	64	136208	8	-1	10	0.003476433
MPI_Allreduce	64	2454528	8	3	1	0.005830095
MPI_Allreduce	64	463624	4	3	1	0.003471593
MPI_Allreduce	64	1226176	8	3	1	0.003446583
MPI_Bcast	16	16390936	8	-1	3	0.535085340
MPI_Allreduce	64	8	8	1	76	0.000832969
MPI_Allreduce	64	18048	8	3	146	0.018736583
MPI_Bcast	64	200	1	-1	165	0.000612001
MPI_Bcast	64	400	8	-1	165	0.001239080
MPI_Bcast	64	44	1	-1	1	0.001536061
MPI_Bcast	64	18000	4	-1	228	0.009107357
MPI_Allreduce	64	18032	8	3	146	0.021834766
MPI_Allreduce	64	18424	8	3	144	0.238551099
MPI_Bcast	64	160	8	-1	335	0.057089959
MPI_Allreduce	64	8	8	2	14	0.001224702
MPI_Bcast	64	544832	8	-1	1	0.002441632
MPI_Bcast	16	15858160	8	-1	1	0.347466851
MPI_Bcast	64	96	8	-1	35	0.000113201
MPI_Bcast	64	120	8	-1	8	0.000047990
MPI_Bcast	64	8	8	-1	180	0.000515231
MPI_Bcast	64	256	1	-1	1	0.000156730
MPI_Bcast	64	98192	8	-1	56	0.020448897
MPI_Allreduce	64	462672	4	3	2	0.004814515
MPI_Allreduce	64	3708992	8	3	1	0.007204357
MPI_Bcast	64	941776	8	-1	5	0.003153584
MPI_Allreduce	64	306816	4	3	1	0.001527361
MPI_Bcast	64	466432	8	-1	8	0.003294902
MPI_Allreduce	64	108864	8	3	876	0.156202670
MPI_Allreduce	64	3701376	8	3	2	0.013638473
MPI_Bcast	64	36000	1	-1	228	0.013564250
MPI_Bcast	64	89488	8	-1	34	0.006205609
MPI_Bcast	64	11688	8	-1	4	0.000125770
MPI_Bcast	16	32117776	8	-1	1	0.107789892
MPI_Allreduce	64	613088	8	3	144	0.088232305
MPI_Bcast	64	466352	8	-1	8	0.003418682
MPI_Bcast	64	68104	4	-1	6	0.001590601
MPI_Allreduce	64	1227264	8	3	1	0.003630264
MPI_Allreduce	64	306544	4	3	1	0.002201322
MPI_Bcast	16	33154256	8	-1	3	1.456965359
MPI_Allreduce	64	109088	8	3	292	0.276081971
MPI_Allreduce	64	27216	8	3	4	0.003412213
MPI_Allreduce	64	2632	8	3	580	0.068051487
MPI_Allreduce	64	112	16	11	27	0.000543220
MPI_Allreduce	64	2452352	8	3	1	0.005092554
MPI_Allreduce	64	2505664	8	3	1	0.011026441
MPI_Bcast	16	15922624	8	-1	17	0.509703255
MPI_Allreduce	64	2888	8	3	1160	0.033025732
MPI_Allreduce	64	134368	8	3	720	2.458244046
MPI_Bcast	64	2888	8	-1	12	0.000169690
MPI_Bcast	64	2920	8	-1	29	0.000414200
MPI_Allreduce	64	1854496	8	3	1	0.004876865
MPI_Allreduce	64	1252832	8	3	1	0.003596553
MPI_Bcast	64	2632	8	-1	6	0.000101620
MPI_Allreduce	64	613632	8	3	144	0.085977752
MPI_Allreduce	64	187680	8	3	145	0.661086046
MPI_Allreduce	64	1850688	8	3	2	0.010304370
MPI_Bcast	64	944656	8	-1	8	0.005564426
MPI_Allreduce	64	626416	8	3	2448	1.446003229
MPI_Bcast	64	3600	4	-1	1140	0.027220940
MPI_Bcast	64	944392	8	-1	8	0.005130354
MPI_Bcast	16	32206992	8	-1	17	0.990532605
MPI_Bcast	64	2048	1	-1	1	0.000023410
MPI_Bcast	64	51200	1	-1	165	0.014228197
MPI_Bcast	16	32108800	8	-1	1	1.178558604
