rank	55
elapsed	126.244829367
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002053090
MPI_Bcast	64	8	4	-1	427	0.683613176
MPI_Bcast	64	12	4	-1	1200	1.454107565
MPI_Bcast	64	4	4	-1	672	2.273964898
MPI_Allreduce	64	8	8	3	491	0.017134757
MPI_Bcast	64	16	4	-1	228	0.000248290
MPI_Bcast	64	20	4	-1	289	0.000377499
MPI_Allreduce	64	313208	4	3	1	0.004057274
MPI_Bcast	64	2000	1	-1	289	0.001916803
MPI_Bcast	16	15855440	8	-1	1	0.049562577
MPI_Bcast	64	464464	8	-1	5	0.002972202
MPI_Bcast	16	14208976	8	-1	6	0.441635892
MPI_Bcast	64	468328	8	-1	23	0.012947992
MPI_Bcast	64	947280	8	-1	23	0.016089164
MPI_Bcast	64	136208	8	-1	10	0.003488393
MPI_Allreduce	64	2454528	8	3	1	0.006041566
MPI_Allreduce	64	463624	4	3	1	0.003198733
MPI_Allreduce	64	1226176	8	3	1	0.003437443
MPI_Bcast	16	16390936	8	-1	3	0.518350463
MPI_Allreduce	64	8	8	1	76	0.000855751
MPI_Allreduce	64	18048	8	3	146	0.018965112
MPI_Bcast	64	200	1	-1	165	0.000491852
MPI_Bcast	64	400	8	-1	165	0.001122527
MPI_Bcast	64	44	1	-1	1	0.001584661
MPI_Bcast	64	18000	4	-1	228	0.009099355
MPI_Allreduce	64	18032	8	3	146	0.022781929
MPI_Allreduce	64	18424	8	3	144	0.374507224
MPI_Bcast	64	160	8	-1	335	0.038284252
MPI_Allreduce	64	8	8	2	14	0.000779241
MPI_Bcast	64	544832	8	-1	1	0.002252022
MPI_Bcast	16	15858160	8	-1	1	0.339733214
MPI_Bcast	64	96	8	-1	35	0.000077740
MPI_Bcast	64	120	8	-1	8	0.000049450
MPI_Bcast	64	8	8	-1	180	0.000199119
MPI_Bcast	64	256	1	-1	1	0.000122210
MPI_Bcast	64	98192	8	-1	56	0.021818778
MPI_Allreduce	64	462672	4	3	2	0.004814244
MPI_Allreduce	64	3708992	8	3	1	0.007254457
MPI_Bcast	64	941776	8	-1	5	0.003069704
MPI_Allreduce	64	306816	4	3	1	0.001471691
MPI_Bcast	64	466432	8	-1	8	0.003144883
MPI_Allreduce	64	108864	8	3	876	0.158322522
MPI_Allreduce	64	3701376	8	3	2	0.013727953
MPI_Bcast	64	36000	1	-1	228	0.013994592
MPI_Bcast	64	89488	8	-1	34	0.006243868
MPI_Bcast	64	11688	8	-1	4	0.000103910
MPI_Bcast	16	32117776	8	-1	1	0.106510441
MPI_Allreduce	64	613088	8	3	144	0.093290144
MPI_Bcast	64	466352	8	-1	8	0.003164881
MPI_Bcast	64	68104	4	-1	6	0.001782090
MPI_Allreduce	64	1227264	8	3	1	0.003411443
MPI_Allreduce	64	306544	4	3	1	0.002273192
MPI_Bcast	16	33154256	8	-1	3	1.427989822
MPI_Allreduce	64	109088	8	3	292	0.404319302
MPI_Allreduce	64	27216	8	3	4	0.002978292
MPI_Allreduce	64	2632	8	3	580	0.073164579
MPI_Allreduce	64	112	16	11	27	0.000505900
MPI_Allreduce	64	2452352	8	3	1	0.005215165
MPI_Allreduce	64	2505664	8	3	1	0.010887251
MPI_Bcast	16	15922624	8	-1	17	0.427976339
MPI_Allreduce	64	2888	8	3	1160	0.032240755
MPI_Allreduce	64	134368	8	3	720	2.951113890
MPI_Bcast	64	2888	8	-1	12	0.000143550
MPI_Bcast	64	2920	8	-1	29	0.000330160
MPI_Allreduce	64	1854496	8	3	1	0.005461355
MPI_Allreduce	64	1252832	8	3	1	0.003643013
MPI_Bcast	64	2632	8	-1	6	0.000081330
MPI_Allreduce	64	613632	8	3	144	0.089510785
MPI_Allreduce	64	187680	8	3	145	0.659502806
MPI_Allreduce	64	1850688	8	3	2	0.009878440
MPI_Bcast	64	944656	8	-1	8	0.005409226
MPI_Allreduce	64	626416	8	3	2448	1.535284763
MPI_Bcast	64	3600	4	-1	1140	0.021148486
MPI_Bcast	64	944392	8	-1	8	0.005126124
MPI_Bcast	16	32206992	8	-1	17	0.815662419
MPI_Bcast	64	2048	1	-1	1	0.000019260
MPI_Bcast	64	51200	1	-1	165	0.014064970
MPI_Bcast	16	32108800	8	-1	1	1.165363201
