rank	4
elapsed	126.227445332
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002845288
MPI_Bcast	64	8	4	-1	427	0.680408407
MPI_Bcast	64	12	4	-1	1200	1.476899213
MPI_Bcast	64	4	4	-1	672	2.746586181
MPI_Allreduce	64	8	8	3	491	0.018605392
MPI_Bcast	64	16	4	-1	228	0.000277280
MPI_Bcast	64	20	4	-1	289	0.000365112
MPI_Allreduce	64	313208	4	3	1	0.004179892
MPI_Bcast	64	2000	1	-1	289	0.001204299
MPI_Bcast	16	15855440	8	-1	1	0.049348803
MPI_Bcast	64	464464	8	-1	5	0.000914750
MPI_Bcast	16	14208976	8	-1	6	0.404177410
MPI_Bcast	64	468328	8	-1	23	0.005917160
MPI_Bcast	64	947280	8	-1	23	0.010590882
MPI_Bcast	64	136208	8	-1	10	0.003208091
MPI_Allreduce	64	2454528	8	3	1	0.005865693
MPI_Allreduce	64	463624	4	3	1	0.002648571
MPI_Allreduce	64	1226176	8	3	1	0.003483322
MPI_Bcast	16	16390936	8	-1	3	0.511108983
MPI_Allreduce	64	8	8	1	76	0.000846943
MPI_Allreduce	64	18048	8	3	146	0.018898042
MPI_Bcast	64	200	1	-1	165	0.000363562
MPI_Bcast	64	400	8	-1	165	0.000508029
MPI_Bcast	64	44	1	-1	1	0.001790991
MPI_Bcast	64	18000	4	-1	228	0.006698725
MPI_Allreduce	64	18032	8	3	146	0.021792378
MPI_Allreduce	64	18424	8	3	144	0.255527805
MPI_Bcast	64	160	8	-1	335	0.010206652
MPI_Allreduce	64	8	8	2	14	0.001134872
MPI_Bcast	64	544832	8	-1	1	0.000573200
MPI_Bcast	16	15858160	8	-1	1	0.340399622
MPI_Bcast	64	96	8	-1	35	0.000078041
MPI_Bcast	64	120	8	-1	8	0.000024820
MPI_Bcast	64	8	8	-1	180	0.000220179
MPI_Bcast	64	256	1	-1	1	0.002991011
MPI_Bcast	64	98192	8	-1	56	0.018994784
MPI_Allreduce	64	462672	4	3	2	0.004527412
MPI_Allreduce	64	3708992	8	3	1	0.007215174
MPI_Bcast	64	941776	8	-1	5	0.002069082
MPI_Allreduce	64	306816	4	3	1	0.001564440
MPI_Bcast	64	466432	8	-1	8	0.001609340
MPI_Allreduce	64	108864	8	3	876	0.153856065
MPI_Allreduce	64	3701376	8	3	2	0.013255506
MPI_Bcast	64	36000	1	-1	228	0.015809885
MPI_Bcast	64	89488	8	-1	34	0.005693882
MPI_Bcast	64	11688	8	-1	4	0.000099340
MPI_Bcast	16	32117776	8	-1	1	0.106676200
MPI_Allreduce	64	613088	8	3	144	0.084213249
MPI_Bcast	64	466352	8	-1	8	0.001688901
MPI_Bcast	64	68104	4	-1	6	0.001673150
MPI_Allreduce	64	1227264	8	3	1	0.003157322
MPI_Allreduce	64	306544	4	3	1	0.002182671
MPI_Bcast	16	33154256	8	-1	3	1.386554001
MPI_Allreduce	64	109088	8	3	292	0.273195023
MPI_Allreduce	64	27216	8	3	4	0.002672011
MPI_Allreduce	64	2632	8	3	580	0.076476708
MPI_Allreduce	64	112	16	11	27	0.000539089
MPI_Allreduce	64	2452352	8	3	1	0.005462293
MPI_Allreduce	64	2505664	8	3	1	0.011196125
MPI_Bcast	16	15922624	8	-1	17	0.295927051
MPI_Allreduce	64	2888	8	3	1160	0.031561884
MPI_Allreduce	64	134368	8	3	720	2.283699905
MPI_Bcast	64	2888	8	-1	12	0.000119269
MPI_Bcast	64	2920	8	-1	29	0.000283850
MPI_Allreduce	64	1854496	8	3	1	0.005090782
MPI_Allreduce	64	1252832	8	3	1	0.003668391
MPI_Bcast	64	2632	8	-1	6	0.000060410
MPI_Allreduce	64	613632	8	3	144	0.084589740
MPI_Allreduce	64	187680	8	3	145	0.717433036
MPI_Allreduce	64	1850688	8	3	2	0.009654175
MPI_Bcast	64	944656	8	-1	8	0.003668790
MPI_Allreduce	64	626416	8	3	2448	1.456335960
MPI_Bcast	64	3600	4	-1	1140	0.010435523
MPI_Bcast	64	944392	8	-1	8	0.003536321
MPI_Bcast	16	32206992	8	-1	17	0.564140010
MPI_Bcast	64	2048	1	-1	1	0.000016690
MPI_Bcast	64	51200	1	-1	165	0.013117595
MPI_Bcast	16	32108800	8	-1	1	1.146202946
