rank	42
elapsed	126.234034851
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.001403455
MPI_Bcast	64	8	4	-1	427	0.703728372
MPI_Bcast	64	12	4	-1	1200	1.449695013
MPI_Bcast	64	4	4	-1	672	2.107975864
MPI_Allreduce	64	8	8	3	491	0.016425535
MPI_Bcast	64	16	4	-1	228	0.000148101
MPI_Bcast	64	20	4	-1	289	0.000325510
MPI_Allreduce	64	313208	4	3	1	0.004087774
MPI_Bcast	64	2000	1	-1	289	0.001569823
MPI_Bcast	16	15855440	8	-1	1	0.050056908
MPI_Bcast	64	464464	8	-1	5	0.002999203
MPI_Bcast	16	14208976	8	-1	6	0.466167734
MPI_Bcast	64	468328	8	-1	23	0.013397222
MPI_Bcast	64	947280	8	-1	23	0.014992118
MPI_Bcast	64	136208	8	-1	10	0.003664213
MPI_Allreduce	64	2454528	8	3	1	0.005707005
MPI_Allreduce	64	463624	4	3	1	0.004141224
MPI_Allreduce	64	1226176	8	3	1	0.003380643
MPI_Bcast	16	16390936	8	-1	3	0.528386295
MPI_Allreduce	64	8	8	1	76	0.000832698
MPI_Allreduce	64	18048	8	3	146	0.019294709
MPI_Bcast	64	200	1	-1	165	0.000356341
MPI_Bcast	64	400	8	-1	165	0.000703600
MPI_Bcast	64	44	1	-1	1	0.001473032
MPI_Bcast	64	18000	4	-1	228	0.009504640
MPI_Allreduce	64	18032	8	3	146	0.021282561
MPI_Allreduce	64	18424	8	3	144	0.127199796
MPI_Bcast	64	160	8	-1	335	0.033078102
MPI_Allreduce	64	8	8	2	14	0.000527450
MPI_Bcast	64	544832	8	-1	1	0.001924802
MPI_Bcast	16	15858160	8	-1	1	0.345599750
MPI_Bcast	64	96	8	-1	35	0.000055880
MPI_Bcast	64	120	8	-1	8	0.000032590
MPI_Bcast	64	8	8	-1	180	0.000130811
MPI_Bcast	64	256	1	-1	1	0.002980963
MPI_Bcast	64	98192	8	-1	56	0.022307872
MPI_Allreduce	64	462672	4	3	2	0.006041846
MPI_Allreduce	64	3708992	8	3	1	0.007198177
MPI_Bcast	64	941776	8	-1	5	0.002777632
MPI_Allreduce	64	306816	4	3	1	0.001438002
MPI_Bcast	64	466432	8	-1	8	0.002767932
MPI_Allreduce	64	108864	8	3	876	0.157148265
MPI_Allreduce	64	3701376	8	3	2	0.013619073
MPI_Bcast	64	36000	1	-1	228	0.015930384
MPI_Bcast	64	89488	8	-1	34	0.006391917
MPI_Bcast	64	11688	8	-1	4	0.000119030
MPI_Bcast	16	32117776	8	-1	1	0.106616072
MPI_Allreduce	64	613088	8	3	144	0.090528122
MPI_Bcast	64	466352	8	-1	8	0.002891943
MPI_Bcast	64	68104	4	-1	6	0.001763935
MPI_Allreduce	64	1227264	8	3	1	0.003582193
MPI_Allreduce	64	306544	4	3	1	0.002047342
MPI_Bcast	16	33154256	8	-1	3	1.453618965
MPI_Allreduce	64	109088	8	3	292	0.167751814
MPI_Allreduce	64	27216	8	3	4	0.002419803
MPI_Allreduce	64	2632	8	3	580	0.053933278
MPI_Allreduce	64	112	16	11	27	0.000525214
MPI_Allreduce	64	2452352	8	3	1	0.005648225
MPI_Allreduce	64	2505664	8	3	1	0.011118640
MPI_Bcast	16	15922624	8	-1	17	0.477590236
MPI_Allreduce	64	2888	8	3	1160	0.031600907
MPI_Allreduce	64	134368	8	3	720	1.664006124
MPI_Bcast	64	2888	8	-1	12	0.000154430
MPI_Bcast	64	2920	8	-1	29	0.000382552
MPI_Allreduce	64	1854496	8	3	1	0.004770145
MPI_Allreduce	64	1252832	8	3	1	0.003761994
MPI_Bcast	64	2632	8	-1	6	0.000097721
MPI_Allreduce	64	613632	8	3	144	0.086307392
MPI_Allreduce	64	187680	8	3	145	0.589295078
MPI_Allreduce	64	1850688	8	3	2	0.010104749
MPI_Bcast	64	944656	8	-1	8	0.005152165
MPI_Allreduce	64	626416	8	3	2448	1.458107115
MPI_Bcast	64	3600	4	-1	1140	0.016670740
MPI_Bcast	64	944392	8	-1	8	0.004821335
MPI_Bcast	16	32206992	8	-1	17	0.917849325
MPI_Bcast	64	2048	1	-1	1	0.000021190
MPI_Bcast	64	51200	1	-1	165	0.014988599
MPI_Bcast	16	32108800	8	-1	1	1.153952791
