rank	44
elapsed	126.252562069
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.003038913
MPI_Bcast	64	8	4	-1	427	0.681450723
MPI_Bcast	64	12	4	-1	1200	1.447451424
MPI_Bcast	64	4	4	-1	672	2.004162273
MPI_Allreduce	64	8	8	3	491	0.011632851
MPI_Bcast	64	16	4	-1	228	0.000688038
MPI_Bcast	64	20	4	-1	289	0.000847508
MPI_Allreduce	64	313208	4	3	1	0.003216203
MPI_Bcast	64	2000	1	-1	289	0.002001973
MPI_Bcast	16	15855440	8	-1	1	0.050463938
MPI_Bcast	64	464464	8	-1	5	0.002970813
MPI_Bcast	16	14208976	8	-1	6	0.478781564
MPI_Bcast	64	468328	8	-1	23	0.013559951
MPI_Bcast	64	947280	8	-1	23	0.015172958
MPI_Bcast	64	136208	8	-1	10	0.003767873
MPI_Allreduce	64	2454528	8	3	1	0.005898055
MPI_Allreduce	64	463624	4	3	1	0.003974904
MPI_Allreduce	64	1226176	8	3	1	0.003441773
MPI_Bcast	16	16390936	8	-1	3	0.534005669
MPI_Allreduce	64	8	8	1	76	0.000833659
MPI_Allreduce	64	18048	8	3	146	0.018288469
MPI_Bcast	64	200	1	-1	165	0.000698852
MPI_Bcast	64	400	8	-1	165	0.001050991
MPI_Bcast	64	44	1	-1	1	0.001431441
MPI_Bcast	64	18000	4	-1	228	0.009329754
MPI_Allreduce	64	18032	8	3	146	0.019978915
MPI_Allreduce	64	18424	8	3	144	0.051002510
MPI_Bcast	64	160	8	-1	335	0.040327509
MPI_Allreduce	64	8	8	2	14	0.000309160
MPI_Bcast	64	544832	8	-1	1	0.001980912
MPI_Bcast	16	15858160	8	-1	1	0.348196592
MPI_Bcast	64	96	8	-1	35	0.000118270
MPI_Bcast	64	120	8	-1	8	0.000049130
MPI_Bcast	64	8	8	-1	180	0.000565618
MPI_Bcast	64	256	1	-1	1	0.002943823
MPI_Bcast	64	98192	8	-1	56	0.015522856
MPI_Allreduce	64	462672	4	3	2	0.006719878
MPI_Allreduce	64	3708992	8	3	1	0.006942317
MPI_Bcast	64	941776	8	-1	5	0.002855252
MPI_Allreduce	64	306816	4	3	1	0.000947151
MPI_Bcast	64	466432	8	-1	8	0.002846462
MPI_Allreduce	64	108864	8	3	876	0.151126837
MPI_Allreduce	64	3701376	8	3	2	0.012623792
MPI_Bcast	64	36000	1	-1	228	0.013783303
MPI_Bcast	64	89488	8	-1	34	0.006462907
MPI_Bcast	64	11688	8	-1	4	0.000117190
MPI_Bcast	16	32117776	8	-1	1	0.106879192
MPI_Allreduce	64	613088	8	3	144	0.079434632
MPI_Bcast	64	466352	8	-1	8	0.002994663
MPI_Bcast	64	68104	4	-1	6	0.001778415
MPI_Allreduce	64	1227264	8	3	1	0.003579783
MPI_Allreduce	64	306544	4	3	1	0.001602922
MPI_Bcast	16	33154256	8	-1	3	1.463084846
MPI_Allreduce	64	109088	8	3	292	0.176782528
MPI_Allreduce	64	27216	8	3	4	0.003392285
MPI_Allreduce	64	2632	8	3	580	0.050606915
MPI_Allreduce	64	112	16	11	27	0.000574894
MPI_Allreduce	64	2452352	8	3	1	0.005856476
MPI_Allreduce	64	2505664	8	3	1	0.010683710
MPI_Bcast	16	15922624	8	-1	17	0.502039631
MPI_Allreduce	64	2888	8	3	1160	0.033374338
MPI_Allreduce	64	134368	8	3	720	1.570349707
MPI_Bcast	64	2888	8	-1	12	0.000171850
MPI_Bcast	64	2920	8	-1	29	0.000421322
MPI_Allreduce	64	1854496	8	3	1	0.004875575
MPI_Allreduce	64	1252832	8	3	1	0.003711104
MPI_Bcast	64	2632	8	-1	6	0.000096531
MPI_Allreduce	64	613632	8	3	144	0.076647814
MPI_Allreduce	64	187680	8	3	145	0.439735666
MPI_Allreduce	64	1850688	8	3	2	0.010106719
MPI_Bcast	64	944656	8	-1	8	0.005105155
MPI_Allreduce	64	626416	8	3	2448	1.307767242
MPI_Bcast	64	3600	4	-1	1140	0.015725132
MPI_Bcast	64	944392	8	-1	8	0.004883004
MPI_Bcast	16	32206992	8	-1	17	0.978984324
MPI_Bcast	64	2048	1	-1	1	0.000034670
MPI_Bcast	64	51200	1	-1	165	0.013605336
MPI_Bcast	16	32108800	8	-1	1	1.158011414
