rank	12
elapsed	126.238174578
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002786393
MPI_Bcast	64	8	4	-1	427	0.703308093
MPI_Bcast	64	12	4	-1	1200	1.457529457
MPI_Bcast	64	4	4	-1	672	2.141772698
MPI_Allreduce	64	8	8	3	491	0.012996320
MPI_Bcast	64	16	4	-1	228	0.000240080
MPI_Bcast	64	20	4	-1	289	0.000338569
MPI_Allreduce	64	313208	4	3	1	0.003898312
MPI_Bcast	64	2000	1	-1	289	0.001162322
MPI_Bcast	16	15855440	8	-1	1	0.050722944
MPI_Bcast	64	464464	8	-1	5	0.001149141
MPI_Bcast	16	14208976	8	-1	6	0.454950587
MPI_Bcast	64	468328	8	-1	23	0.008355662
MPI_Bcast	64	947280	8	-1	23	0.011490023
MPI_Bcast	64	136208	8	-1	10	0.003459791
MPI_Allreduce	64	2454528	8	3	1	0.005751453
MPI_Allreduce	64	463624	4	3	1	0.003829092
MPI_Allreduce	64	1226176	8	3	1	0.003447142
MPI_Bcast	16	16390936	8	-1	3	0.534202824
MPI_Allreduce	64	8	8	1	76	0.000842660
MPI_Allreduce	64	18048	8	3	146	0.018763496
MPI_Bcast	64	200	1	-1	165	0.000290872
MPI_Bcast	64	400	8	-1	165	0.000376210
MPI_Bcast	64	44	1	-1	1	0.001517901
MPI_Bcast	64	18000	4	-1	228	0.006495601
MPI_Allreduce	64	18032	8	3	146	0.020363105
MPI_Allreduce	64	18424	8	3	144	0.159177358
MPI_Bcast	64	160	8	-1	335	0.008233982
MPI_Allreduce	64	8	8	2	14	0.000834022
MPI_Bcast	64	544832	8	-1	1	0.000867560
MPI_Bcast	16	15858160	8	-1	1	0.351660958
MPI_Bcast	64	96	8	-1	35	0.000059370
MPI_Bcast	64	120	8	-1	8	0.000026820
MPI_Bcast	64	8	8	-1	180	0.000202442
MPI_Bcast	64	256	1	-1	1	0.002970261
MPI_Bcast	64	98192	8	-1	56	0.021213347
MPI_Allreduce	64	462672	4	3	2	0.006286463
MPI_Allreduce	64	3708992	8	3	1	0.007169594
MPI_Bcast	64	941776	8	-1	5	0.002301232
MPI_Allreduce	64	306816	4	3	1	0.001534700
MPI_Bcast	64	466432	8	-1	8	0.001932090
MPI_Allreduce	64	108864	8	3	876	0.155215332
MPI_Allreduce	64	3701376	8	3	2	0.013050875
MPI_Bcast	64	36000	1	-1	228	0.015461007
MPI_Bcast	64	89488	8	-1	34	0.006119312
MPI_Bcast	64	11688	8	-1	4	0.000105490
MPI_Bcast	16	32117776	8	-1	1	0.108491231
MPI_Allreduce	64	613088	8	3	144	0.086763873
MPI_Bcast	64	466352	8	-1	8	0.001864910
MPI_Bcast	64	68104	4	-1	6	0.001868220
MPI_Allreduce	64	1227264	8	3	1	0.003404462
MPI_Allreduce	64	306544	4	3	1	0.002193661
MPI_Bcast	16	33154256	8	-1	3	1.428267091
MPI_Allreduce	64	109088	8	3	292	0.188362689
MPI_Allreduce	64	27216	8	3	4	0.002073811
MPI_Allreduce	64	2632	8	3	580	0.053898918
MPI_Allreduce	64	112	16	11	27	0.000551957
MPI_Allreduce	64	2452352	8	3	1	0.005495913
MPI_Allreduce	64	2505664	8	3	1	0.010875765
MPI_Bcast	16	15922624	8	-1	17	0.471491036
MPI_Allreduce	64	2888	8	3	1160	0.031391339
MPI_Allreduce	64	134368	8	3	720	1.953265222
MPI_Bcast	64	2888	8	-1	12	0.000118380
MPI_Bcast	64	2920	8	-1	29	0.000269370
MPI_Allreduce	64	1854496	8	3	1	0.004749642
MPI_Allreduce	64	1252832	8	3	1	0.003750651
MPI_Bcast	64	2632	8	-1	6	0.000061710
MPI_Allreduce	64	613632	8	3	144	0.082134297
MPI_Allreduce	64	187680	8	3	145	0.541724723
MPI_Allreduce	64	1850688	8	3	2	0.009992905
MPI_Bcast	64	944656	8	-1	8	0.004002602
MPI_Allreduce	64	626416	8	3	2448	1.414024354
MPI_Bcast	64	3600	4	-1	1140	0.009358959
MPI_Bcast	64	944392	8	-1	8	0.003765432
MPI_Bcast	16	32206992	8	-1	17	0.883257803
MPI_Bcast	64	2048	1	-1	1	0.000020820
MPI_Bcast	64	51200	1	-1	165	0.012991077
MPI_Bcast	16	32108800	8	-1	1	1.165590625
