rank	38
elapsed	126.230656448
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002869775
MPI_Bcast	64	8	4	-1	427	0.706046075
MPI_Bcast	64	12	4	-1	1200	1.450564045
MPI_Bcast	64	4	4	-1	672	2.347928286
MPI_Allreduce	64	8	8	3	491	0.013075558
MPI_Bcast	64	16	4	-1	228	0.000334320
MPI_Bcast	64	20	4	-1	289	0.000538852
MPI_Allreduce	64	313208	4	3	1	0.003945614
MPI_Bcast	64	2000	1	-1	289	0.001945222
MPI_Bcast	16	15855440	8	-1	1	0.049351287
MPI_Bcast	64	464464	8	-1	5	0.002961813
MPI_Bcast	16	14208976	8	-1	6	0.440997300
MPI_Bcast	64	468328	8	-1	23	0.012522892
MPI_Bcast	64	947280	8	-1	23	0.014710028
MPI_Bcast	64	136208	8	-1	10	0.003372792
MPI_Allreduce	64	2454528	8	3	1	0.005808485
MPI_Allreduce	64	463624	4	3	1	0.004366694
MPI_Allreduce	64	1226176	8	3	1	0.003429483
MPI_Bcast	16	16390936	8	-1	3	0.516744192
MPI_Allreduce	64	8	8	1	76	0.000831271
MPI_Allreduce	64	18048	8	3	146	0.019298417
MPI_Bcast	64	200	1	-1	165	0.000585400
MPI_Bcast	64	400	8	-1	165	0.000907112
MPI_Bcast	64	44	1	-1	1	0.001673322
MPI_Bcast	64	18000	4	-1	228	0.009250074
MPI_Allreduce	64	18032	8	3	146	0.023287209
MPI_Allreduce	64	18424	8	3	144	0.136609643
MPI_Bcast	64	160	8	-1	335	0.034154885
MPI_Allreduce	64	8	8	2	14	0.000682371
MPI_Bcast	64	544832	8	-1	1	0.001660052
MPI_Bcast	16	15858160	8	-1	1	0.340431185
MPI_Bcast	64	96	8	-1	35	0.000088910
MPI_Bcast	64	120	8	-1	8	0.000031070
MPI_Bcast	64	8	8	-1	180	0.000287711
MPI_Bcast	64	256	1	-1	1	0.003073373
MPI_Bcast	64	98192	8	-1	56	0.019203738
MPI_Allreduce	64	462672	4	3	2	0.006492267
MPI_Allreduce	64	3708992	8	3	1	0.006729596
MPI_Bcast	64	941776	8	-1	5	0.002756072
MPI_Allreduce	64	306816	4	3	1	0.001517642
MPI_Bcast	64	466432	8	-1	8	0.002690592
MPI_Allreduce	64	108864	8	3	876	0.157846219
MPI_Allreduce	64	3701376	8	3	2	0.013527173
MPI_Bcast	64	36000	1	-1	228	0.013871021
MPI_Bcast	64	89488	8	-1	34	0.006179517
MPI_Bcast	64	11688	8	-1	4	0.000123570
MPI_Bcast	16	32117776	8	-1	1	0.105543981
MPI_Allreduce	64	613088	8	3	144	0.089517794
MPI_Bcast	64	466352	8	-1	8	0.002731423
MPI_Bcast	64	68104	4	-1	6	0.001663114
MPI_Allreduce	64	1227264	8	3	1	0.003316673
MPI_Allreduce	64	306544	4	3	1	0.002251742
MPI_Bcast	16	33154256	8	-1	3	1.433447708
MPI_Allreduce	64	109088	8	3	292	0.211472457
MPI_Allreduce	64	27216	8	3	4	0.002409203
MPI_Allreduce	64	2632	8	3	580	0.061254244
MPI_Allreduce	64	112	16	11	27	0.000552155
MPI_Allreduce	64	2452352	8	3	1	0.006032636
MPI_Allreduce	64	2505664	8	3	1	0.011442351
MPI_Bcast	16	15922624	8	-1	17	0.402684444
MPI_Allreduce	64	2888	8	3	1160	0.033238734
MPI_Allreduce	64	134368	8	3	720	2.198748245
MPI_Bcast	64	2888	8	-1	12	0.000169870
MPI_Bcast	64	2920	8	-1	29	0.000409402
MPI_Allreduce	64	1854496	8	3	1	0.004989845
MPI_Allreduce	64	1252832	8	3	1	0.003700484
MPI_Bcast	64	2632	8	-1	6	0.000094921
MPI_Allreduce	64	613632	8	3	144	0.086346813
MPI_Allreduce	64	187680	8	3	145	0.473432608
MPI_Allreduce	64	1850688	8	3	2	0.009831059
MPI_Bcast	64	944656	8	-1	8	0.005059455
MPI_Allreduce	64	626416	8	3	2448	1.481153285
MPI_Bcast	64	3600	4	-1	1140	0.048224005
MPI_Bcast	64	944392	8	-1	8	0.004765795
MPI_Bcast	16	32206992	8	-1	17	0.768345732
MPI_Bcast	64	2048	1	-1	1	0.000026420
MPI_Bcast	64	51200	1	-1	165	0.013942970
MPI_Bcast	16	32108800	8	-1	1	1.143722431
