rank	13
elapsed	126.242282293
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002681583
MPI_Bcast	64	8	4	-1	427	0.704374474
MPI_Bcast	64	12	4	-1	1200	1.447326135
MPI_Bcast	64	4	4	-1	672	2.064860136
MPI_Allreduce	64	8	8	3	491	0.011705614
MPI_Bcast	64	16	4	-1	228	0.000252908
MPI_Bcast	64	20	4	-1	289	0.000385601
MPI_Allreduce	64	313208	4	3	1	0.003890962
MPI_Bcast	64	2000	1	-1	289	0.001196111
MPI_Bcast	16	15855440	8	-1	1	0.051488695
MPI_Bcast	64	464464	8	-1	5	0.001171211
MPI_Bcast	16	14208976	8	-1	6	0.461800639
MPI_Bcast	64	468328	8	-1	23	0.007658733
MPI_Bcast	64	947280	8	-1	23	0.012458193
MPI_Bcast	64	136208	8	-1	10	0.003381441
MPI_Allreduce	64	2454528	8	3	1	0.006236503
MPI_Allreduce	64	463624	4	3	1	0.004186942
MPI_Allreduce	64	1226176	8	3	1	0.003442842
MPI_Bcast	16	16390936	8	-1	3	0.537672157
MPI_Allreduce	64	8	8	1	76	0.000821793
MPI_Allreduce	64	18048	8	3	146	0.018341734
MPI_Bcast	64	200	1	-1	165	0.000325901
MPI_Bcast	64	400	8	-1	165	0.000547520
MPI_Bcast	64	44	1	-1	1	0.001503261
MPI_Bcast	64	18000	4	-1	228	0.006615364
MPI_Allreduce	64	18032	8	3	146	0.021645335
MPI_Allreduce	64	18424	8	3	144	0.158898608
MPI_Bcast	64	160	8	-1	335	0.009239954
MPI_Allreduce	64	8	8	2	14	0.000549251
MPI_Bcast	64	544832	8	-1	1	0.000876720
MPI_Bcast	16	15858160	8	-1	1	0.353611479
MPI_Bcast	64	96	8	-1	35	0.000061390
MPI_Bcast	64	120	8	-1	8	0.000027400
MPI_Bcast	64	8	8	-1	180	0.000211530
MPI_Bcast	64	256	1	-1	1	0.003086641
MPI_Bcast	64	98192	8	-1	56	0.020557107
MPI_Allreduce	64	462672	4	3	2	0.006286233
MPI_Allreduce	64	3708992	8	3	1	0.007285814
MPI_Bcast	64	941776	8	-1	5	0.002324332
MPI_Allreduce	64	306816	4	3	1	0.001575410
MPI_Bcast	64	466432	8	-1	8	0.001962780
MPI_Allreduce	64	108864	8	3	876	0.156565185
MPI_Allreduce	64	3701376	8	3	2	0.013862936
MPI_Bcast	64	36000	1	-1	228	0.015382008
MPI_Bcast	64	89488	8	-1	34	0.005991961
MPI_Bcast	64	11688	8	-1	4	0.000116350
MPI_Bcast	16	32117776	8	-1	1	0.108628551
MPI_Allreduce	64	613088	8	3	144	0.089529626
MPI_Bcast	64	466352	8	-1	8	0.002063470
MPI_Bcast	64	68104	4	-1	6	0.001772970
MPI_Allreduce	64	1227264	8	3	1	0.003400932
MPI_Allreduce	64	306544	4	3	1	0.002312091
MPI_Bcast	16	33154256	8	-1	3	1.433147453
MPI_Allreduce	64	109088	8	3	292	0.184600314
MPI_Allreduce	64	27216	8	3	4	0.002032991
MPI_Allreduce	64	2632	8	3	580	0.061489367
MPI_Allreduce	64	112	16	11	27	0.000538358
MPI_Allreduce	64	2452352	8	3	1	0.005487383
MPI_Allreduce	64	2505664	8	3	1	0.011846525
MPI_Bcast	16	15922624	8	-1	17	0.488775002
MPI_Allreduce	64	2888	8	3	1160	0.031366764
MPI_Allreduce	64	134368	8	3	720	1.930491004
MPI_Bcast	64	2888	8	-1	12	0.000132639
MPI_Bcast	64	2920	8	-1	29	0.000314411
MPI_Allreduce	64	1854496	8	3	1	0.004745282
MPI_Allreduce	64	1252832	8	3	1	0.003751341
MPI_Bcast	64	2632	8	-1	6	0.000068380
MPI_Allreduce	64	613632	8	3	144	0.084892532
MPI_Allreduce	64	187680	8	3	145	0.461968080
MPI_Allreduce	64	1850688	8	3	2	0.009962195
MPI_Bcast	64	944656	8	-1	8	0.003807212
MPI_Allreduce	64	626416	8	3	2448	1.456512253
MPI_Bcast	64	3600	4	-1	1140	0.021303394
MPI_Bcast	64	944392	8	-1	8	0.003998112
MPI_Bcast	16	32206992	8	-1	17	0.920639469
MPI_Bcast	64	2048	1	-1	1	0.000017990
MPI_Bcast	64	51200	1	-1	165	0.012942186
MPI_Bcast	16	32108800	8	-1	1	1.167338327
