rank	1
elapsed	126.248151681
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.005033591
MPI_Bcast	64	8	4	-1	427	0.683249683
MPI_Bcast	64	12	4	-1	1200	1.496470185
MPI_Bcast	64	4	4	-1	672	2.926331646
MPI_Allreduce	64	8	8	3	491	0.018072019
MPI_Bcast	64	16	4	-1	228	0.000389121
MPI_Bcast	64	20	4	-1	289	0.000508247
MPI_Allreduce	64	313208	4	3	1	0.004638563
MPI_Bcast	64	2000	1	-1	289	0.001810978
MPI_Bcast	16	15855440	8	-1	1	0.048469383
MPI_Bcast	64	464464	8	-1	5	0.000804520
MPI_Bcast	16	14208976	8	-1	6	0.386888684
MPI_Bcast	64	468328	8	-1	23	0.004214411
MPI_Bcast	64	947280	8	-1	23	0.009176862
MPI_Bcast	64	136208	8	-1	10	0.003409311
MPI_Allreduce	64	2454528	8	3	1	0.005917613
MPI_Allreduce	64	463624	4	3	1	0.002913411
MPI_Allreduce	64	1226176	8	3	1	0.003379102
MPI_Bcast	16	16390936	8	-1	3	0.501775539
MPI_Allreduce	64	8	8	1	76	0.000821102
MPI_Allreduce	64	18048	8	3	146	0.019211417
MPI_Bcast	64	200	1	-1	165	0.000569923
MPI_Bcast	64	400	8	-1	165	0.000701690
MPI_Bcast	64	44	1	-1	1	0.001904911
MPI_Bcast	64	18000	4	-1	228	0.007975342
MPI_Allreduce	64	18032	8	3	146	0.022609435
MPI_Allreduce	64	18424	8	3	144	0.331228568
MPI_Bcast	64	160	8	-1	335	0.020048632
MPI_Allreduce	64	8	8	2	14	0.001667851
MPI_Bcast	64	544832	8	-1	1	0.000510650
MPI_Bcast	16	15858160	8	-1	1	0.335702020
MPI_Bcast	64	96	8	-1	35	0.000124810
MPI_Bcast	64	120	8	-1	8	0.000047810
MPI_Bcast	64	8	8	-1	180	0.000336209
MPI_Bcast	64	256	1	-1	1	0.002976321
MPI_Bcast	64	98192	8	-1	56	0.018039325
MPI_Allreduce	64	462672	4	3	2	0.004821872
MPI_Allreduce	64	3708992	8	3	1	0.007153974
MPI_Bcast	64	941776	8	-1	5	0.001977802
MPI_Allreduce	64	306816	4	3	1	0.001631450
MPI_Bcast	64	466432	8	-1	8	0.001401760
MPI_Allreduce	64	108864	8	3	876	0.156674695
MPI_Allreduce	64	3701376	8	3	2	0.013154306
MPI_Bcast	64	36000	1	-1	228	0.021419884
MPI_Bcast	64	89488	8	-1	34	0.005623162
MPI_Bcast	64	11688	8	-1	4	0.000098770
MPI_Bcast	16	32117776	8	-1	1	0.105909160
MPI_Allreduce	64	613088	8	3	144	0.087017221
MPI_Bcast	64	466352	8	-1	8	0.001497551
MPI_Bcast	64	68104	4	-1	6	0.001658240
MPI_Allreduce	64	1227264	8	3	1	0.003178652
MPI_Allreduce	64	306544	4	3	1	0.002204951
MPI_Bcast	16	33154256	8	-1	3	1.370005124
MPI_Allreduce	64	109088	8	3	292	0.347005552
MPI_Allreduce	64	27216	8	3	4	0.002755761
MPI_Allreduce	64	2632	8	3	580	0.083144173
MPI_Allreduce	64	112	16	11	27	0.000590948
MPI_Allreduce	64	2452352	8	3	1	0.005786923
MPI_Allreduce	64	2505664	8	3	1	0.011011445
MPI_Bcast	16	15922624	8	-1	17	0.228026999
MPI_Allreduce	64	2888	8	3	1160	0.032864208
MPI_Allreduce	64	134368	8	3	720	2.605855768
MPI_Bcast	64	2888	8	-1	12	0.000122750
MPI_Bcast	64	2920	8	-1	29	0.000286851
MPI_Allreduce	64	1854496	8	3	1	0.004900882
MPI_Allreduce	64	1252832	8	3	1	0.003667141
MPI_Bcast	64	2632	8	-1	6	0.000055670
MPI_Allreduce	64	613632	8	3	144	0.088552003
MPI_Allreduce	64	187680	8	3	145	0.577713981
MPI_Allreduce	64	1850688	8	3	2	0.009595915
MPI_Bcast	64	944656	8	-1	8	0.003628771
MPI_Allreduce	64	626416	8	3	2448	1.520333105
MPI_Bcast	64	3600	4	-1	1140	0.012377323
MPI_Bcast	64	944392	8	-1	8	0.003293331
MPI_Bcast	16	32206992	8	-1	17	0.438344582
MPI_Bcast	64	2048	1	-1	1	0.000012320
MPI_Bcast	64	51200	1	-1	165	0.012784727
MPI_Bcast	16	32108800	8	-1	1	1.137938983
