rank	43
elapsed	126.250866277
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002533484
MPI_Bcast	64	8	4	-1	427	0.681133229
MPI_Bcast	64	12	4	-1	1200	1.445367193
MPI_Bcast	64	4	4	-1	672	2.042397860
MPI_Allreduce	64	8	8	3	491	0.013234769
MPI_Bcast	64	16	4	-1	228	0.000203193
MPI_Bcast	64	20	4	-1	289	0.000339008
MPI_Allreduce	64	313208	4	3	1	0.004096554
MPI_Bcast	64	2000	1	-1	289	0.001753324
MPI_Bcast	16	15855440	8	-1	1	0.050318418
MPI_Bcast	64	464464	8	-1	5	0.002964653
MPI_Bcast	16	14208976	8	-1	6	0.472373860
MPI_Bcast	64	468328	8	-1	23	0.013449812
MPI_Bcast	64	947280	8	-1	23	0.015255869
MPI_Bcast	64	136208	8	-1	10	0.003743874
MPI_Allreduce	64	2454528	8	3	1	0.005872935
MPI_Allreduce	64	463624	4	3	1	0.004216604
MPI_Allreduce	64	1226176	8	3	1	0.003386373
MPI_Bcast	16	16390936	8	-1	3	0.531374707
MPI_Allreduce	64	8	8	1	76	0.000840871
MPI_Allreduce	64	18048	8	3	146	0.019596932
MPI_Bcast	64	200	1	-1	165	0.000517963
MPI_Bcast	64	400	8	-1	165	0.000948593
MPI_Bcast	64	44	1	-1	1	0.001470702
MPI_Bcast	64	18000	4	-1	228	0.009163775
MPI_Allreduce	64	18032	8	3	146	0.022839044
MPI_Allreduce	64	18424	8	3	144	0.116005307
MPI_Bcast	64	160	8	-1	335	0.040034800
MPI_Allreduce	64	8	8	2	14	0.000660811
MPI_Bcast	64	544832	8	-1	1	0.001937142
MPI_Bcast	16	15858160	8	-1	1	0.346998031
MPI_Bcast	64	96	8	-1	35	0.000072070
MPI_Bcast	64	120	8	-1	8	0.000048290
MPI_Bcast	64	8	8	-1	180	0.000163799
MPI_Bcast	64	256	1	-1	1	0.003006293
MPI_Bcast	64	98192	8	-1	56	0.015404277
MPI_Allreduce	64	462672	4	3	2	0.006094566
MPI_Allreduce	64	3708992	8	3	1	0.006714616
MPI_Bcast	64	941776	8	-1	5	0.002829092
MPI_Allreduce	64	306816	4	3	1	0.001436502
MPI_Bcast	64	466432	8	-1	8	0.002796622
MPI_Allreduce	64	108864	8	3	876	0.157472395
MPI_Allreduce	64	3701376	8	3	2	0.013611843
MPI_Bcast	64	36000	1	-1	228	0.013349826
MPI_Bcast	64	89488	8	-1	34	0.006414696
MPI_Bcast	64	11688	8	-1	4	0.000113330
MPI_Bcast	16	32117776	8	-1	1	0.106738122
MPI_Allreduce	64	613088	8	3	144	0.090619272
MPI_Bcast	64	466352	8	-1	8	0.002913043
MPI_Bcast	64	68104	4	-1	6	0.001774395
MPI_Allreduce	64	1227264	8	3	1	0.003580493
MPI_Allreduce	64	306544	4	3	1	0.002116462
MPI_Bcast	16	33154256	8	-1	3	1.458078161
MPI_Allreduce	64	109088	8	3	292	0.176230808
MPI_Allreduce	64	27216	8	3	4	0.002487923
MPI_Allreduce	64	2632	8	3	580	0.050527637
MPI_Allreduce	64	112	16	11	27	0.000536434
MPI_Allreduce	64	2452352	8	3	1	0.005842766
MPI_Allreduce	64	2505664	8	3	1	0.010919570
MPI_Bcast	16	15922624	8	-1	17	0.493152069
MPI_Allreduce	64	2888	8	3	1160	0.031592774
MPI_Allreduce	64	134368	8	3	720	1.581573551
MPI_Bcast	64	2888	8	-1	12	0.000163510
MPI_Bcast	64	2920	8	-1	29	0.000382141
MPI_Allreduce	64	1854496	8	3	1	0.004816825
MPI_Allreduce	64	1252832	8	3	1	0.003763134
MPI_Bcast	64	2632	8	-1	6	0.000087771
MPI_Allreduce	64	613632	8	3	144	0.087877125
MPI_Allreduce	64	187680	8	3	145	0.437084267
MPI_Allreduce	64	1850688	8	3	2	0.010053529
MPI_Bcast	64	944656	8	-1	8	0.005207425
MPI_Allreduce	64	626416	8	3	2448	1.475941202
MPI_Bcast	64	3600	4	-1	1140	0.021354195
MPI_Bcast	64	944392	8	-1	8	0.004850265
MPI_Bcast	16	32206992	8	-1	17	0.954470852
MPI_Bcast	64	2048	1	-1	1	0.000024460
MPI_Bcast	64	51200	1	-1	165	0.013284477
MPI_Bcast	16	32108800	8	-1	1	1.155780932
