rank	2
elapsed	126.236087916
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.005184213
MPI_Bcast	64	8	4	-1	427	0.682254512
MPI_Bcast	64	12	4	-1	1200	1.491014251
MPI_Bcast	64	4	4	-1	672	2.891170409
MPI_Allreduce	64	8	8	3	491	0.017461780
MPI_Bcast	64	16	4	-1	228	0.000366382
MPI_Bcast	64	20	4	-1	289	0.000536872
MPI_Allreduce	64	313208	4	3	1	0.004200972
MPI_Bcast	64	2000	1	-1	289	0.001703139
MPI_Bcast	16	15855440	8	-1	1	0.049466324
MPI_Bcast	64	464464	8	-1	5	0.000858480
MPI_Bcast	16	14208976	8	-1	6	0.396529967
MPI_Bcast	64	468328	8	-1	23	0.005037612
MPI_Bcast	64	947280	8	-1	23	0.010290782
MPI_Bcast	64	136208	8	-1	10	0.003391101
MPI_Allreduce	64	2454528	8	3	1	0.006119313
MPI_Allreduce	64	463624	4	3	1	0.003081282
MPI_Allreduce	64	1226176	8	3	1	0.003375342
MPI_Bcast	16	16390936	8	-1	3	0.506561391
MPI_Allreduce	64	8	8	1	76	0.000831331
MPI_Allreduce	64	18048	8	3	146	0.019349981
MPI_Bcast	64	200	1	-1	165	0.000591731
MPI_Bcast	64	400	8	-1	165	0.001000170
MPI_Bcast	64	44	1	-1	1	0.001842471
MPI_Bcast	64	18000	4	-1	228	0.007614414
MPI_Allreduce	64	18032	8	3	146	0.022543074
MPI_Allreduce	64	18424	8	3	144	0.260099560
MPI_Bcast	64	160	8	-1	335	0.016201198
MPI_Allreduce	64	8	8	2	14	0.001719231
MPI_Bcast	64	544832	8	-1	1	0.000517230
MPI_Bcast	16	15858160	8	-1	1	0.338084331
MPI_Bcast	64	96	8	-1	35	0.000116580
MPI_Bcast	64	120	8	-1	8	0.000031610
MPI_Bcast	64	8	8	-1	180	0.000301821
MPI_Bcast	64	256	1	-1	1	0.003045111
MPI_Bcast	64	98192	8	-1	56	0.017974825
MPI_Allreduce	64	462672	4	3	2	0.004767402
MPI_Allreduce	64	3708992	8	3	1	0.006619514
MPI_Bcast	64	941776	8	-1	5	0.002007632
MPI_Allreduce	64	306816	4	3	1	0.001620970
MPI_Bcast	64	466432	8	-1	8	0.001553350
MPI_Allreduce	64	108864	8	3	876	0.156386968
MPI_Allreduce	64	3701376	8	3	2	0.013299305
MPI_Bcast	64	36000	1	-1	228	0.021307410
MPI_Bcast	64	89488	8	-1	34	0.005602781
MPI_Bcast	64	11688	8	-1	4	0.000098310
MPI_Bcast	16	32117776	8	-1	1	0.106240550
MPI_Allreduce	64	613088	8	3	144	0.087337578
MPI_Bcast	64	466352	8	-1	8	0.001586091
MPI_Bcast	64	68104	4	-1	6	0.001647130
MPI_Allreduce	64	1227264	8	3	1	0.003206752
MPI_Allreduce	64	306544	4	3	1	0.002307451
MPI_Bcast	16	33154256	8	-1	3	1.377017816
MPI_Allreduce	64	109088	8	3	292	0.290803066
MPI_Allreduce	64	27216	8	3	4	0.002301011
MPI_Allreduce	64	2632	8	3	580	0.077471314
MPI_Allreduce	64	112	16	11	27	0.000550629
MPI_Allreduce	64	2452352	8	3	1	0.005603323
MPI_Allreduce	64	2505664	8	3	1	0.011473765
MPI_Bcast	16	15922624	8	-1	17	0.254282342
MPI_Allreduce	64	2888	8	3	1160	0.032996623
MPI_Allreduce	64	134368	8	3	720	2.320978262
MPI_Bcast	64	2888	8	-1	12	0.000104130
MPI_Bcast	64	2920	8	-1	29	0.000250670
MPI_Allreduce	64	1854496	8	3	1	0.004924422
MPI_Allreduce	64	1252832	8	3	1	0.003674661
MPI_Bcast	64	2632	8	-1	6	0.000055070
MPI_Allreduce	64	613632	8	3	144	0.088920355
MPI_Allreduce	64	187680	8	3	145	0.541289724
MPI_Allreduce	64	1850688	8	3	2	0.009558515
MPI_Bcast	64	944656	8	-1	8	0.003271141
MPI_Allreduce	64	626416	8	3	2448	1.513956071
MPI_Bcast	64	3600	4	-1	1140	0.010467250
MPI_Bcast	64	944392	8	-1	8	0.003465551
MPI_Bcast	16	32206992	8	-1	17	0.481790593
MPI_Bcast	64	2048	1	-1	1	0.000016750
MPI_Bcast	64	51200	1	-1	165	0.012685597
MPI_Bcast	16	32108800	8	-1	1	1.141027584
