rank	56
elapsed	126.240169592
collective	comm_size	message_bytes	datatype_size	operation	calls	seconds
MPI_Bcast	64	200	4	-1	413	0.002590772
MPI_Bcast	64	8	4	-1	427	0.681116873
MPI_Bcast	64	12	4	-1	1200	1.473258098
MPI_Bcast	64	4	4	-1	672	2.227794463
MPI_Allreduce	64	8	8	3	491	0.023805081
MPI_Bcast	64	16	4	-1	228	0.000408031
MPI_Bcast	64	20	4	-1	289	0.000651571
MPI_Allreduce	64	313208	4	3	1	0.004339844
MPI_Bcast	64	2000	1	-1	289	0.002682223
MPI_Bcast	16	15855440	8	-1	1	0.050105938
MPI_Bcast	64	464464	8	-1	5	0.003210233
MPI_Bcast	16	14208976	8	-1	6	0.447599076
MPI_Bcast	64	468328	8	-1	23	0.014467463
MPI_Bcast	64	947280	8	-1	23	0.016182543
MPI_Bcast	64	136208	8	-1	10	0.003521673
MPI_Allreduce	64	2454528	8	3	1	0.005529706
MPI_Allreduce	64	463624	4	3	1	0.001889501
MPI_Allreduce	64	1226176	8	3	1	0.003365303
MPI_Bcast	16	16390936	8	-1	3	0.521711047
MPI_Allreduce	64	8	8	1	76	0.000850321
MPI_Allreduce	64	18048	8	3	146	0.019049892
MPI_Bcast	64	200	1	-1	165	0.000718959
MPI_Bcast	64	400	8	-1	165	0.001175290
MPI_Bcast	64	44	1	-1	1	0.001910501
MPI_Bcast	64	18000	4	-1	228	0.009225456
MPI_Allreduce	64	18032	8	3	146	0.020788109
MPI_Allreduce	64	18424	8	3	144	0.427190972
MPI_Bcast	64	160	8	-1	335	0.055372477
MPI_Allreduce	64	8	8	2	14	0.002256043
MPI_Bcast	64	544832	8	-1	1	0.002260042
MPI_Bcast	16	15858160	8	-1	1	0.341399875
MPI_Bcast	64	96	8	-1	35	0.000112009
MPI_Bcast	64	120	8	-1	8	0.000055350
MPI_Bcast	64	8	8	-1	180	0.000315781
MPI_Bcast	64	256	1	-1	1	0.000142420
MPI_Bcast	64	98192	8	-1	56	0.022923009
MPI_Allreduce	64	462672	4	3	2	0.002857153
MPI_Allreduce	64	3708992	8	3	1	0.006738796
MPI_Bcast	64	941776	8	-1	5	0.003100224
MPI_Allreduce	64	306816	4	3	1	0.001487131
MPI_Bcast	64	466432	8	-1	8	0.003176623
MPI_Allreduce	64	108864	8	3	876	0.156347702
MPI_Allreduce	64	3701376	8	3	2	0.013102602
MPI_Bcast	64	36000	1	-1	228	0.014460165
MPI_Bcast	64	89488	8	-1	34	0.006323847
MPI_Bcast	64	11688	8	-1	4	0.000119620
MPI_Bcast	16	32117776	8	-1	1	0.106785981
MPI_Allreduce	64	613088	8	3	144	0.090481476
MPI_Bcast	64	466352	8	-1	8	0.003335311
MPI_Bcast	64	68104	4	-1	6	0.001793940
MPI_Allreduce	64	1227264	8	3	1	0.003624574
MPI_Allreduce	64	306544	4	3	1	0.002098352
MPI_Bcast	16	33154256	8	-1	3	1.433648317
MPI_Allreduce	64	109088	8	3	292	0.385394305
MPI_Allreduce	64	27216	8	3	4	0.003125132
MPI_Allreduce	64	2632	8	3	580	0.085904286
MPI_Allreduce	64	112	16	11	27	0.000569050
MPI_Allreduce	64	2452352	8	3	1	0.005743455
MPI_Allreduce	64	2505664	8	3	1	0.010835601
MPI_Bcast	16	15922624	8	-1	17	0.438747829
MPI_Allreduce	64	2888	8	3	1160	0.032875720
MPI_Allreduce	64	134368	8	3	720	2.780981153
MPI_Bcast	64	2888	8	-1	12	0.000177430
MPI_Bcast	64	2920	8	-1	29	0.000437240
MPI_Allreduce	64	1854496	8	3	1	0.004894784
MPI_Allreduce	64	1252832	8	3	1	0.003672893
MPI_Bcast	64	2632	8	-1	6	0.000101350
MPI_Allreduce	64	613632	8	3	144	0.088241093
MPI_Allreduce	64	187680	8	3	145	0.938148356
MPI_Allreduce	64	1850688	8	3	2	0.010148090
MPI_Bcast	64	944656	8	-1	8	0.005574966
MPI_Allreduce	64	626416	8	3	2448	1.517807957
MPI_Bcast	64	3600	4	-1	1140	0.018298333
MPI_Bcast	64	944392	8	-1	8	0.005151634
MPI_Bcast	16	32206992	8	-1	17	0.842648576
MPI_Bcast	64	2048	1	-1	1	0.000021250
MPI_Bcast	64	51200	1	-1	165	0.015270810
MPI_Bcast	16	32108800	8	-1	1	1.167386083
